   time (s)   m_dot_g (kg/m2/s)  m_dot_c (kg/m2/s)  Virgin 98%     Char 2%    recession (m) 
 0.00000E+00     0.00000E+00       0.00000E+00     0.00000E+00   0.00000E+00  0.00000E+00
 0.10000E+00     0.16988E+00       0.62228E-02     0.30842E-03   0.77177E-05  0.77177E-05
 0.20000E+00     0.12187E+00       0.26030E-01     0.61934E-03   0.15649E-04  0.15649E-04
 0.30000E+00     0.10038E+00       0.34127E-01     0.85313E-03   0.29418E-04  0.29418E-04
 0.40000E+00     0.88026E-01       0.38384E-01     0.10566E-02   0.45846E-04  0.45846E-04
 0.50000E+00     0.79654E-01       0.41090E-01     0.12367E-02   0.63823E-04  0.63823E-04
 0.60000E+00     0.73399E-01       0.43005E-01     0.14012E-02   0.82841E-04  0.82841E-04
 0.70000E+00     0.68614E-01       0.44394E-01     0.15537E-02   0.10260E-03  0.10260E-03
 0.80000E+00     0.64761E-01       0.45479E-01     0.16974E-02   0.12293E-03  0.12293E-03
 0.90000E+00     0.62938E-01       0.46148E-01     0.18326E-02   0.19244E-03  0.14369E-03
 0.10000E+01     0.58835E-01       0.47028E-01     0.19589E-02   0.27079E-03  0.16482E-03
 0.11000E+01     0.56315E-01       0.47641E-01     0.20844E-02   0.34569E-03  0.18624E-03
 0.12000E+01     0.54265E-01       0.48156E-01     0.21992E-02   0.41770E-03  0.20792E-03
 0.13000E+01     0.53188E-01       0.48521E-01     0.23154E-02   0.48728E-03  0.22980E-03
 0.14000E+01     0.51524E-01       0.48911E-01     0.24266E-02   0.55472E-03  0.25186E-03
 0.15000E+01     0.50022E-01       0.49246E-01     0.25335E-02   0.62026E-03  0.27409E-03
 0.16000E+01     0.48696E-01       0.49517E-01     0.26371E-02   0.68411E-03  0.29646E-03
 0.17000E+01     0.47439E-01       0.49769E-01     0.27375E-02   0.74649E-03  0.31894E-03
 0.18000E+01     0.46349E-01       0.49989E-01     0.28341E-02   0.80739E-03  0.34153E-03
 0.19000E+01     0.45297E-01       0.50192E-01     0.29279E-02   0.86706E-03  0.36422E-03
 0.20000E+01     0.44368E-01       0.50373E-01     0.30253E-02   0.92563E-03  0.38700E-03
 0.21000E+01     0.43171E-01       0.50562E-01     0.31204E-02   0.98256E-03  0.40988E-03
 0.22000E+01     0.42405E-01       0.50709E-01     0.32094E-02   0.10386E-02  0.43283E-03
 0.23000E+01     0.41634E-01       0.50849E-01     0.32986E-02   0.10936E-02  0.45585E-03
 0.24000E+01     0.40941E-01       0.50976E-01     0.33887E-02   0.11479E-02  0.47892E-03
 0.25000E+01     0.40261E-01       0.51096E-01     0.34699E-02   0.12015E-02  0.50206E-03
 0.26000E+01     0.39628E-01       0.51207E-01     0.35576E-02   0.12543E-02  0.52525E-03
 0.27000E+01     0.39026E-01       0.51310E-01     0.36374E-02   0.13065E-02  0.54849E-03
 0.28000E+01     0.38483E-01       0.51403E-01     0.37207E-02   0.13580E-02  0.57177E-03
