   time (s)      Tw (K)       T2 (K)       T3 (K)       T4 (K)       T5 (K)       T6 (K)       T7 (K)       T8 (K)       T9(K)
 0.00000E+00  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.10000E+00  0.94754E+03  0.31695E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.20000E+00  0.10591E+04  0.38743E+03  0.30205E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.30000E+00  0.11168E+04  0.46374E+03  0.31138E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.40000E+00  0.11570E+04  0.52969E+03  0.32849E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.50000E+00  0.11887E+04  0.58481E+03  0.35055E+03  0.30019E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.60000E+00  0.12149E+04  0.63196E+03  0.37499E+03  0.30065E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.70000E+00  0.12375E+04  0.67289E+03  0.40017E+03  0.30160E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.80000E+00  0.12571E+04  0.70912E+03  0.42516E+03  0.30318E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.90000E+00  0.12745E+04  0.74144E+03  0.44945E+03  0.30546E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.10000E+01  0.12900E+04  0.77045E+03  0.47298E+03  0.30847E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.11000E+01  0.13039E+04  0.79663E+03  0.49557E+03  0.31218E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.12000E+01  0.13165E+04  0.82041E+03  0.51713E+03  0.31654E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.13000E+01  0.13280E+04  0.84211E+03  0.53761E+03  0.32149E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.14000E+01  0.13385E+04  0.86204E+03  0.55700E+03  0.32696E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.15000E+01  0.13481E+04  0.88043E+03  0.57547E+03  0.33287E+03  0.30002E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.16000E+01  0.13570E+04  0.89750E+03  0.59312E+03  0.33917E+03  0.30005E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.17000E+01  0.13652E+04  0.91343E+03  0.60999E+03  0.34578E+03  0.30008E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.18000E+01  0.13728E+04  0.92834E+03  0.62609E+03  0.35266E+03  0.30012E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.19000E+01  0.13799E+04  0.94235E+03  0.64148E+03  0.35974E+03  0.30019E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.20000E+01  0.13865E+04  0.95555E+03  0.65617E+03  0.36698E+03  0.30027E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.21000E+01  0.13927E+04  0.96788E+03  0.67017E+03  0.37437E+03  0.30039E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.22000E+01  0.13984E+04  0.97946E+03  0.68346E+03  0.38184E+03  0.30055E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.23000E+01  0.14037E+04  0.99047E+03  0.69625E+03  0.38934E+03  0.30074E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.24000E+01  0.14087E+04  0.10010E+04  0.70857E+03  0.39686E+03  0.30098E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.25000E+01  0.14135E+04  0.10110E+04  0.72039E+03  0.40440E+03  0.30126E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.26000E+01  0.14181E+04  0.10205E+04  0.73178E+03  0.41193E+03  0.30158E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.27000E+01  0.14224E+04  0.10297E+04  0.74275E+03  0.41937E+03  0.30195E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.28000E+01  0.14265E+04  0.10384E+04  0.75328E+03  0.42684E+03  0.30237E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.29000E+01  0.14304E+04  0.10468E+04  0.76342E+03  0.43417E+03  0.30283E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.30000E+01  0.14342E+04  0.10549E+04  0.77320E+03  0.44144E+03  0.30336E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.31000E+01  0.14377E+04  0.10626E+04  0.78262E+03  0.44866E+03  0.30393E+03  0.30002E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.32000E+01  0.14411E+04  0.10700E+04  0.79169E+03  0.45595E+03  0.30456E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.33000E+01  0.14444E+04  0.10772E+04  0.80045E+03  0.46305E+03  0.30524E+03  0.30004E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.34000E+01  0.14477E+04  0.10841E+04  0.80889E+03  0.47015E+03  0.30597E+03  0.30005E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.35000E+01  0.14508E+04  0.10907E+04  0.81705E+03  0.47717E+03  0.30676E+03  0.30006E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.36000E+01  0.14537E+04  0.10971E+04  0.82493E+03  0.48410E+03  0.30760E+03  0.30007E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.37000E+01  0.14565E+04  0.11033E+04  0.83257E+03  0.49093E+03  0.30850E+03  0.30009E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.38000E+01  0.14592E+04  0.11093E+04  0.83995E+03  0.49768E+03  0.30944E+03  0.30012E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.39000E+01  0.14617E+04  0.11151E+04  0.84716E+03  0.50436E+03  0.31044E+03  0.30014E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.40000E+01  0.14642E+04  0.11207E+04  0.85414E+03  0.51094E+03  0.31149E+03  0.30017E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.41000E+01  0.14665E+04  0.11260E+04  0.86091E+03  0.51741E+03  0.31259E+03  0.30020E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.42000E+01  0.14688E+04  0.11313E+04  0.86747E+03  0.52381E+03  0.31374E+03  0.30024E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.43000E+01  0.14710E+04  0.11363E+04  0.87384E+03  0.53011E+03  0.31494E+03  0.30029E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.44000E+01  0.14732E+04  0.11412E+04  0.88008E+03  0.53631E+03  0.31618E+03  0.30033E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.45000E+01  0.14752E+04  0.11460E+04  0.88616E+03  0.54239E+03  0.31746E+03  0.30039E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.46000E+01  0.14772E+04  0.11506E+04  0.89209E+03  0.54841E+03  0.31879E+03  0.30045E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.47000E+01  0.14792E+04  0.11551E+04  0.89787E+03  0.55431E+03  0.32017E+03  0.30052E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.48000E+01  0.14810E+04  0.11595E+04  0.90349E+03  0.56011E+03  0.32158E+03  0.30059E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.49000E+01  0.14829E+04  0.11637E+04  0.90900E+03  0.56587E+03  0.32304E+03  0.30068E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.50000E+01  0.14846E+04  0.11678E+04  0.91438E+03  0.57153E+03  0.32453E+03  0.30076E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.51000E+01  0.14863E+04  0.11718E+04  0.91962E+03  0.57714E+03  0.32606E+03  0.30086E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.52000E+01  0.14880E+04  0.11757E+04  0.92478E+03  0.58266E+03  0.32762E+03  0.30097E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.53000E+01  0.14896E+04  0.11796E+04  0.92983E+03  0.58813E+03  0.32922E+03  0.30108E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.54000E+01  0.14912E+04  0.11833E+04  0.93476E+03  0.59349E+03  0.33086E+03  0.30120E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.55000E+01  0.14928E+04  0.11869E+04  0.93961E+03  0.59878E+03  0.33252E+03  0.30133E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.56000E+01  0.14942E+04  0.11904E+04  0.94432E+03  0.60400E+03  0.33421E+03  0.30148E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.57000E+01  0.14957E+04  0.11939E+04  0.94899E+03  0.60915E+03  0.33594E+03  0.30162E+03  0.30003E+03  0.30000E+03  0.30000E+03
 0.58000E+01  0.14971E+04  0.11972E+04  0.95351E+03  0.61422E+03  0.33769E+03  0.30179E+03  0.30003E+03  0.30000E+03  0.30000E+03
 0.59000E+01  0.14985E+04  0.12005E+04  0.95801E+03  0.61923E+03  0.33946E+03  0.30195E+03  0.30004E+03  0.30000E+03  0.30000E+03
 0.60000E+01  0.14998E+04  0.12038E+04  0.96236E+03  0.62416E+03  0.34126E+03  0.30214E+03  0.30005E+03  0.30000E+03  0.30000E+03
 0.61000E+01  0.15012E+04  0.12069E+04  0.96667E+03  0.62903E+03  0.34309E+03  0.30233E+03  0.30005E+03  0.30000E+03  0.30000E+03
 0.62000E+01  0.15024E+04  0.12100E+04  0.97088E+03  0.63381E+03  0.34494E+03  0.30253E+03  0.30006E+03  0.30000E+03  0.30000E+03
 0.63000E+01  0.15037E+04  0.12130E+04  0.97502E+03  0.63854E+03  0.34681E+03  0.30274E+03  0.30007E+03  0.30000E+03  0.30000E+03
 0.64000E+01  0.15049E+04  0.12160E+04  0.97912E+03  0.64318E+03  0.34870E+03  0.30296E+03  0.30008E+03  0.30000E+03  0.30000E+03
 0.65000E+01  0.15061E+04  0.12189E+04  0.98309E+03  0.64778E+03  0.35061E+03  0.30319E+03  0.30009E+03  0.30000E+03  0.30000E+03
 0.66000E+01  0.15073E+04  0.12217E+04  0.98699E+03  0.65229E+03  0.35253E+03  0.30344E+03  0.30010E+03  0.30000E+03  0.30000E+03
 0.67000E+01  0.15084E+04  0.12245E+04  0.99083E+03  0.65676E+03  0.35448E+03  0.30369E+03  0.30011E+03  0.30000E+03  0.30000E+03
