   time (s)      Tw (K)       T2 (K)       T3 (K)       T4 (K)       T5 (K)       T6 (K)       T7 (K)       T8 (K)       T9(K)
 0.68000E+01  0.15095E+04  0.12272E+04  0.99461E+03  0.66116E+03  0.35644E+03  0.30396E+03  0.30013E+03  0.30000E+03  0.30000E+03
 0.69000E+01  0.15106E+04  0.12299E+04  0.99833E+03  0.66551E+03  0.35841E+03  0.30424E+03  0.30014E+03  0.30000E+03  0.30000E+03
 0.70000E+01  0.15117E+04  0.12325E+04  0.10020E+04  0.66979E+03  0.36040E+03  0.30453E+03  0.30016E+03  0.30000E+03  0.30000E+03
 0.71000E+01  0.15127E+04  0.12350E+04  0.10055E+04  0.67403E+03  0.36240E+03  0.30483E+03  0.30018E+03  0.30000E+03  0.30000E+03
 0.72000E+01  0.15138E+04  0.12375E+04  0.10090E+04  0.67821E+03  0.36441E+03  0.30514E+03  0.30019E+03  0.30000E+03  0.30000E+03
 0.73000E+01  0.15148E+04  0.12400E+04  0.10125E+04  0.68233E+03  0.36644E+03  0.30547E+03  0.30021E+03  0.30000E+03  0.30000E+03
 0.74000E+01  0.15158E+04  0.12424E+04  0.10159E+04  0.68639E+03  0.36847E+03  0.30580E+03  0.30024E+03  0.30000E+03  0.30000E+03
 0.75000E+01  0.15163E+04  0.12445E+04  0.10192E+04  0.69039E+03  0.37052E+03  0.30615E+03  0.30026E+03  0.30000E+03  0.30000E+03
 0.76000E+01  0.15174E+04  0.12469E+04  0.10225E+04  0.69434E+03  0.37257E+03  0.30651E+03  0.30029E+03  0.30000E+03  0.30000E+03
 0.77000E+01  0.15180E+04  0.12489E+04  0.10256E+04  0.69824E+03  0.37464E+03  0.30688E+03  0.30031E+03  0.30000E+03  0.30000E+03
 0.78000E+01  0.15188E+04  0.12510E+04  0.10287E+04  0.70207E+03  0.37671E+03  0.30726E+03  0.30034E+03  0.30000E+03  0.30000E+03
 0.79000E+01  0.15195E+04  0.12530E+04  0.10317E+04  0.70585E+03  0.37879E+03  0.30765E+03  0.30037E+03  0.30000E+03  0.30000E+03
 0.80000E+01  0.15203E+04  0.12550E+04  0.10346E+04  0.70956E+03  0.38087E+03  0.30806E+03  0.30041E+03  0.30000E+03  0.30000E+03
 0.81000E+01  0.15211E+04  0.12570E+04  0.10376E+04  0.71323E+03  0.38296E+03  0.30848E+03  0.30044E+03  0.30000E+03  0.30000E+03
 0.82000E+01  0.15219E+04  0.12590E+04  0.10404E+04  0.71684E+03  0.38505E+03  0.30890E+03  0.30048E+03  0.30000E+03  0.30000E+03
 0.83000E+01  0.15227E+04  0.12609E+04  0.10433E+04  0.72039E+03  0.38715E+03  0.30934E+03  0.30052E+03  0.30000E+03  0.30000E+03
 0.84000E+01  0.15235E+04  0.12629E+04  0.10461E+04  0.72389E+03  0.38926E+03  0.30979E+03  0.30056E+03  0.30000E+03  0.30000E+03
 0.85000E+01  0.15243E+04  0.12648E+04  0.10488E+04  0.72735E+03  0.39137E+03  0.31025E+03  0.30060E+03  0.30000E+03  0.30000E+03
 0.86000E+01  0.15250E+04  0.12667E+04  0.10516E+04  0.73074E+03  0.39348E+03  0.31072E+03  0.30065E+03  0.30000E+03  0.30000E+03
 0.87000E+01  0.15258E+04  0.12686E+04  0.10542E+04  0.73410E+03  0.39559E+03  0.31121E+03  0.30070E+03  0.30000E+03  0.30000E+03
 0.88000E+01  0.15265E+04  0.12705E+04  0.10569E+04  0.73740E+03  0.39770E+03  0.31170E+03  0.30075E+03  0.30000E+03  0.30000E+03
 0.89000E+01  0.15273E+04  0.12723E+04  0.10595E+04  0.74066E+03  0.39981E+03  0.31220E+03  0.30081E+03  0.30000E+03  0.30000E+03
 0.90000E+01  0.15280E+04  0.12741E+04  0.10621E+04  0.74388E+03  0.40193E+03  0.31272E+03  0.30086E+03  0.30000E+03  0.30000E+03
 0.91000E+01  0.15287E+04  0.12759E+04  0.10647E+04  0.74704E+03  0.40405E+03  0.31325E+03  0.30092E+03  0.30000E+03  0.30000E+03
 0.92000E+01  0.15294E+04  0.12777E+04  0.10672E+04  0.75016E+03  0.40616E+03  0.31378E+03  0.30098E+03  0.30000E+03  0.30000E+03
 0.93000E+01  0.15301E+04  0.12795E+04  0.10697E+04  0.75324E+03  0.40828E+03  0.31433E+03  0.30105E+03  0.30000E+03  0.30000E+03
 0.94000E+01  0.15308E+04  0.12812E+04  0.10722E+04  0.75628E+03  0.41038E+03  0.31489E+03  0.30112E+03  0.30000E+03  0.30000E+03
 0.95000E+01  0.15315E+04  0.12829E+04  0.10746E+04  0.75928E+03  0.41249E+03  0.31545E+03  0.30119E+03  0.30000E+03  0.30000E+03
 0.96000E+01  0.15322E+04  0.12845E+04  0.10770E+04  0.76223E+03  0.41461E+03  0.31603E+03  0.30126E+03  0.30000E+03  0.30000E+03
 0.97000E+01  0.15328E+04  0.12862E+04  0.10794E+04  0.76514E+03  0.41671E+03  0.31662E+03  0.30134E+03  0.30000E+03  0.30000E+03
 0.98000E+01  0.15335E+04  0.12878E+04  0.10817E+04  0.76802E+03  0.41881E+03  0.31721E+03  0.30142E+03  0.30000E+03  0.30000E+03
 0.99000E+01  0.15341E+04  0.12895E+04  0.10840E+04  0.77086E+03  0.42092E+03  0.31782E+03  0.30150E+03  0.30000E+03  0.30000E+03
 0.10000E+02  0.15347E+04  0.12910E+04  0.10863E+04  0.77366E+03  0.42303E+03  0.31844E+03  0.30158E+03  0.30000E+03  0.30000E+03
 0.10100E+02  0.15353E+04  0.12926E+04  0.10885E+04  0.77643E+03  0.42512E+03  0.31906E+03  0.30167E+03  0.30000E+03  0.30000E+03
 0.10200E+02  0.15359E+04  0.12942E+04  0.10907E+04  0.77915E+03  0.42721E+03  0.31970E+03  0.30176E+03  0.30000E+03  0.30000E+03
 0.10300E+02  0.15365E+04  0.12957E+04  0.10929E+04  0.78185E+03  0.42931E+03  0.32034E+03  0.30186E+03  0.30000E+03  0.30000E+03
 0.10400E+02  0.15371E+04  0.12972E+04  0.10951E+04  0.78452E+03  0.43138E+03  0.32099E+03  0.30196E+03  0.30000E+03  0.30000E+03
 0.10500E+02  0.15377E+04  0.12987E+04  0.10972E+04  0.78714E+03  0.43346E+03  0.32165E+03  0.30206E+03  0.30000E+03  0.30000E+03
 0.10600E+02  0.15383E+04  0.13002E+04  0.10993E+04  0.78974E+03  0.43555E+03  0.32232E+03  0.30217E+03  0.30000E+03  0.30000E+03
 0.10700E+02  0.15389E+04  0.13016E+04  0.11014E+04  0.79232E+03  0.43764E+03  0.32300E+03  0.30228E+03  0.30000E+03  0.30000E+03
 0.10800E+02  0.15394E+04  0.13031E+04  0.11035E+04  0.79485E+03  0.43968E+03  0.32369E+03  0.30239E+03  0.30000E+03  0.30000E+03
 0.10900E+02  0.15400E+04  0.13045E+04  0.11055E+04  0.79735E+03  0.44175E+03  0.32439E+03  0.30251E+03  0.30001E+03  0.30000E+03
 0.11000E+02  0.15405E+04  0.13059E+04  0.11075E+04  0.79983E+03  0.44383E+03  0.32509E+03  0.30263E+03  0.30001E+03  0.30000E+03
 0.11100E+02  0.15411E+04  0.13073E+04  0.11095E+04  0.80228E+03  0.44585E+03  0.32580E+03  0.30275E+03  0.30001E+03  0.30000E+03
 0.11200E+02  0.15416E+04  0.13086E+04  0.11115E+04  0.80469E+03  0.44789E+03  0.32652E+03  0.30288E+03  0.30001E+03  0.30000E+03
 0.11300E+02  0.15421E+04  0.13100E+04  0.11134E+04  0.80709E+03  0.44995E+03  0.32725E+03  0.30301E+03  0.30001E+03  0.30000E+03
 0.11400E+02  0.15426E+04  0.13113E+04  0.11153E+04  0.80946E+03  0.45201E+03  0.32798E+03  0.30314E+03  0.30001E+03  0.30000E+03
 0.11500E+02  0.15431E+04  0.13127E+04  0.11172E+04  0.81181E+03  0.45408E+03  0.32872E+03  0.30328E+03  0.30001E+03  0.30000E+03
 0.11600E+02  0.15436E+04  0.13139E+04  0.11191E+04  0.81413E+03  0.45610E+03  0.32947E+03  0.30342E+03  0.30001E+03  0.30000E+03
 0.11700E+02  0.15441E+04  0.13152E+04  0.11210E+04  0.81641E+03  0.45813E+03  0.33023E+03  0.30357E+03  0.30001E+03  0.30000E+03
 0.11800E+02  0.15446E+04  0.13165E+04  0.11228E+04  0.81870E+03  0.46017E+03  0.33099E+03  0.30371E+03  0.30001E+03  0.30000E+03
 0.11900E+02  0.15451E+04  0.13178E+04  0.11246E+04  0.82094E+03  0.46217E+03  0.33176E+03  0.30387E+03  0.30001E+03  0.30000E+03
 0.12000E+02  0.15456E+04  0.13190E+04  0.11264E+04  0.82315E+03  0.46418E+03  0.33254E+03  0.30402E+03  0.30001E+03  0.30000E+03
 0.12100E+02  0.15461E+04  0.13202E+04  0.11282E+04  0.82535E+03  0.46619E+03  0.33332E+03  0.30419E+03  0.30002E+03  0.30000E+03
 0.12200E+02  0.15465E+04  0.13215E+04  0.11299E+04  0.82755E+03  0.46821E+03  0.33411E+03  0.30435E+03  0.30002E+03  0.30000E+03
 0.12300E+02  0.15470E+04  0.13227E+04  0.11316E+04  0.82969E+03  0.47022E+03  0.33491E+03  0.30452E+03  0.30002E+03  0.30000E+03
 0.12400E+02  0.15475E+04  0.13238E+04  0.11334E+04  0.83182E+03  0.47222E+03  0.33571E+03  0.30469E+03  0.30002E+03  0.30000E+03
 0.12500E+02  0.15479E+04  0.13250E+04  0.11351E+04  0.83394E+03  0.47420E+03  0.33652E+03  0.30486E+03  0.30002E+03  0.30000E+03
 0.12600E+02  0.15483E+04  0.13262E+04  0.11367E+04  0.83605E+03  0.47619E+03  0.33733E+03  0.30504E+03  0.30002E+03  0.30000E+03
 0.12700E+02  0.15488E+04  0.13273E+04  0.11384E+04  0.83812E+03  0.47818E+03  0.33815E+03  0.30523E+03  0.30003E+03  0.30000E+03
 0.12800E+02  0.15492E+04  0.13285E+04  0.11400E+04  0.84017E+03  0.48015E+03  0.33898E+03  0.30541E+03  0.30003E+03  0.30000E+03
 0.12900E+02  0.15497E+04  0.13296E+04  0.11417E+04  0.84221E+03  0.48211E+03  0.33981E+03  0.30560E+03  0.30003E+03  0.30000E+03
 0.13000E+02  0.15501E+04  0.13307E+04  0.11432E+04  0.84424E+03  0.48407E+03  0.34064E+03  0.30580E+03  0.30003E+03  0.30000E+03
 0.13100E+02  0.15505E+04  0.13318E+04  0.11448E+04  0.84626E+03  0.48602E+03  0.34149E+03  0.30600E+03  0.30004E+03  0.30000E+03
 0.13200E+02  0.15509E+04  0.13329E+04  0.11464E+04  0.84824E+03  0.48797E+03  0.34233E+03  0.30620E+03  0.30004E+03  0.30000E+03
 0.13300E+02  0.15513E+04  0.13340E+04  0.11480E+04  0.85020E+03  0.48992E+03  0.34319E+03  0.30641E+03  0.30004E+03  0.30000E+03
 0.13400E+02  0.15517E+04  0.13351E+04  0.11495E+04  0.85215E+03  0.49185E+03  0.34404E+03  0.30662E+03  0.30004E+03  0.30000E+03
 0.13500E+02  0.15521E+04  0.13361E+04  0.11511E+04  0.85410E+03  0.49378E+03  0.34490E+03  0.30683E+03  0.30005E+03  0.30000E+03
 0.13600E+02  0.15525E+04  0.13372E+04  0.11526E+04  0.85602E+03  0.49570E+03  0.34577E+03  0.30705E+03  0.30005E+03  0.30000E+03
 0.13700E+02  0.15529E+04  0.13382E+04  0.11541E+04  0.85791E+03  0.49762E+03  0.34664E+03  0.30727E+03  0.30005E+03  0.30000E+03
 0.13800E+02  0.15533E+04  0.13392E+04  0.11555E+04  0.85979E+03  0.49952E+03  0.34752E+03  0.30749E+03  0.30006E+03  0.30000E+03
 0.13900E+02  0.15537E+04  0.13403E+04  0.11570E+04  0.86168E+03  0.50142E+03  0.34840E+03  0.30772E+03  0.30006E+03  0.30000E+03
 0.14000E+02  0.15541E+04  0.13413E+04  0.11585E+04  0.86355E+03  0.50331E+03  0.34928E+03  0.30796E+03  0.30006E+03  0.30000E+03
 0.14100E+02  0.15544E+04  0.13423E+04  0.11599E+04  0.86539E+03  0.50519E+03  0.35017E+03  0.30819E+03  0.30007E+03  0.30000E+03
 0.14200E+02  0.15548E+04  0.13432E+04  0.11613E+04  0.86721E+03  0.50706E+03  0.35106E+03  0.30843E+03  0.30007E+03  0.30000E+03
 0.14300E+02  0.15552E+04  0.13442E+04  0.11628E+04  0.86902E+03  0.50894E+03  0.35196E+03  0.30868E+03  0.30007E+03  0.30000E+03
 0.14400E+02  0.15555E+04  0.13452E+04  0.11642E+04  0.87084E+03  0.51080E+03  0.35286E+03  0.30893E+03  0.30008E+03  0.30000E+03
 0.14500E+02  0.15559E+04  0.13462E+04  0.11655E+04  0.87263E+03  0.51266E+03  0.35376E+03  0.30918E+03  0.30008E+03  0.30000E+03
 0.14600E+02  0.15562E+04  0.13471E+04  0.11669E+04  0.87440E+03  0.51450E+03  0.35467E+03  0.30943E+03  0.30009E+03  0.30000E+03
 0.14700E+02  0.15566E+04  0.13480E+04  0.11682E+04  0.87615E+03  0.51634E+03  0.35558E+03  0.30969E+03  0.30009E+03  0.30000E+03
 0.14800E+02  0.15570E+04  0.13490E+04  0.11696E+04  0.87790E+03  0.51817E+03  0.35649E+03  0.30996E+03  0.30010E+03  0.30000E+03
 0.14900E+02  0.15573E+04  0.13499E+04  0.11709E+04  0.87966E+03  0.51999E+03  0.35741E+03  0.31022E+03  0.30010E+03  0.30000E+03
 0.15000E+02  0.15576E+04  0.13508E+04  0.11723E+04  0.88139E+03  0.52180E+03  0.35833E+03  0.31049E+03  0.30011E+03  0.30000E+03
 0.15100E+02  0.15580E+04  0.13517E+04  0.11736E+04  0.88310E+03  0.52361E+03  0.35925E+03  0.31077E+03  0.30012E+03  0.30000E+03
 0.15200E+02  0.15583E+04  0.13526E+04  0.11749E+04  0.88478E+03  0.52541E+03  0.36018E+03  0.31105E+03  0.30012E+03  0.30000E+03
 0.15300E+02  0.15587E+04  0.13535E+04  0.11762E+04  0.88646E+03  0.52721E+03  0.36111E+03  0.31133E+03  0.30013E+03  0.30000E+03
 0.15400E+02  0.15590E+04  0.13544E+04  0.11775E+04  0.88816E+03  0.52900E+03  0.36204E+03  0.31161E+03  0.30013E+03  0.30000E+03
 0.15500E+02  0.15593E+04  0.13552E+04  0.11787E+04  0.88984E+03  0.53078E+03  0.36298E+03  0.31190E+03  0.30014E+03  0.30000E+03
 0.15600E+02  0.15596E+04  0.13561E+04  0.11799E+04  0.89149E+03  0.53255E+03  0.36391E+03  0.31219E+03  0.30015E+03  0.30000E+03
 0.15700E+02  0.15599E+04  0.13570E+04  0.11812E+04  0.89311E+03  0.53431E+03  0.36485E+03  0.31249E+03  0.30016E+03  0.30000E+03
 0.15800E+02  0.15603E+04  0.13578E+04  0.11824E+04  0.89475E+03  0.53607E+03  0.36580E+03  0.31279E+03  0.30017E+03  0.30000E+03
 0.15900E+02  0.15606E+04  0.13587E+04  0.11837E+04  0.89638E+03  0.53783E+03  0.36674E+03  0.31309E+03  0.30017E+03  0.30000E+03
 0.16000E+02  0.15609E+04  0.13595E+04  0.11849E+04  0.89802E+03  0.53955E+03  0.36769E+03  0.31339E+03  0.30018E+03  0.30000E+03
 0.16100E+02  0.15612E+04  0.13603E+04  0.11861E+04  0.89962E+03  0.54128E+03  0.36864E+03  0.31370E+03  0.30019E+03  0.30000E+03
 0.16200E+02  0.15615E+04  0.13611E+04  0.11873E+04  0.90119E+03  0.54301E+03  0.36959E+03  0.31402E+03  0.30020E+03  0.30000E+03
 0.16300E+02  0.15618E+04  0.13620E+04  0.11885E+04  0.90276E+03  0.54473E+03  0.37054E+03  0.31433E+03  0.30021E+03  0.30000E+03
 0.16400E+02  0.15621E+04  0.13628E+04  0.11896E+04  0.90437E+03  0.54644E+03  0.37150E+03  0.31465E+03  0.30022E+03  0.30000E+03
 0.16500E+02  0.15624E+04  0.13636E+04  0.11908E+04  0.90595E+03  0.54816E+03  0.37246E+03  0.31498E+03  0.30023E+03  0.30000E+03
 0.16600E+02  0.15627E+04  0.13643E+04  0.11919E+04  0.90750E+03  0.54983E+03  0.37342E+03  0.31531E+03  0.30024E+03  0.30000E+03
 0.16700E+02  0.15630E+04  0.13651E+04  0.11931E+04  0.90903E+03  0.55151E+03  0.37438E+03  0.31563E+03  0.30025E+03  0.30000E+03
 0.16800E+02  0.15632E+04  0.13659E+04  0.11942E+04  0.91054E+03  0.55320E+03  0.37534E+03  0.31597E+03  0.30026E+03  0.30000E+03
 0.16900E+02  0.15635E+04  0.13667E+04  0.11953E+04  0.91207E+03  0.55487E+03  0.37630E+03  0.31631E+03  0.30027E+03  0.30000E+03
 0.17000E+02  0.15638E+04  0.13675E+04  0.11965E+04  0.91360E+03  0.55654E+03  0.37727E+03  0.31664E+03  0.30028E+03  0.30000E+03
