   time (s)   m_dot_g (kg/m2/s)  m_dot_c (kg/m2/s)  Virgin 98%     Char 2%    recession (m) 
 0.00000E+00     0.00000E+00       0.00000E+00     0.00000E+00   0.00000E+00  0.00000E+00
 0.10000E+00     0.26651E-02       0.00000E+00     0.30190E-05   0.00000E+00  0.00000E+00
 0.20000E+00     0.10599E-01       0.00000E+00     0.16571E-03   0.00000E+00  0.00000E+00
 0.30000E+00     0.17528E-01       0.00000E+00     0.29618E-03   0.00000E+00  0.00000E+00
 0.40000E+00     0.21992E-01       0.00000E+00     0.41168E-03   0.00000E+00  0.00000E+00
 0.50000E+00     0.24218E-01       0.00000E+00     0.51766E-03   0.00000E+00  0.00000E+00
 0.60000E+00     0.25226E-01       0.00000E+00     0.61655E-03   0.00000E+00  0.00000E+00
 0.70000E+00     0.25607E-01       0.00000E+00     0.70926E-03   0.00000E+00  0.00000E+00
 0.80000E+00     0.25625E-01       0.00000E+00     0.79797E-03   0.00000E+00  0.00000E+00
 0.90000E+00     0.25449E-01       0.00000E+00     0.88252E-03   0.00000E+00  0.00000E+00
 0.10000E+01     0.25158E-01       0.00000E+00     0.96391E-03   0.00000E+00  0.00000E+00
 0.11000E+01     0.24801E-01       0.00000E+00     0.10424E-02   0.00000E+00  0.00000E+00
 0.12000E+01     0.24411E-01       0.00000E+00     0.11179E-02   0.00000E+00  0.00000E+00
 0.13000E+01     0.24009E-01       0.00000E+00     0.11910E-02   0.00000E+00  0.00000E+00
 0.14000E+01     0.23602E-01       0.00000E+00     0.12630E-02   0.00000E+00  0.00000E+00
 0.15000E+01     0.23199E-01       0.00000E+00     0.13315E-02   0.00000E+00  0.00000E+00
 0.16000E+01     0.22805E-01       0.00000E+00     0.13997E-02   0.00000E+00  0.00000E+00
 0.17000E+01     0.22424E-01       0.00000E+00     0.14660E-02   0.00000E+00  0.00000E+00
 0.18000E+01     0.22054E-01       0.00000E+00     0.15303E-02   0.00000E+00  0.00000E+00
 0.19000E+01     0.21697E-01       0.00000E+00     0.15931E-02   0.00000E+00  0.00000E+00
 0.20000E+01     0.21354E-01       0.00000E+00     0.16548E-02   0.00000E+00  0.00000E+00
 0.21000E+01     0.20907E-01       0.00000E+00     0.17167E-02   0.00000E+00  0.00000E+00
 0.22000E+01     0.20641E-01       0.00000E+00     0.17787E-02   0.00000E+00  0.00000E+00
 0.23000E+01     0.20358E-01       0.00000E+00     0.18407E-02   0.00000E+00  0.00000E+00
 0.24000E+01     0.20071E-01       0.00000E+00     0.19012E-02   0.00000E+00  0.00000E+00
 0.25000E+01     0.19789E-01       0.00000E+00     0.19598E-02   0.00000E+00  0.00000E+00
 0.26000E+01     0.19517E-01       0.00000E+00     0.20160E-02   0.00000E+00  0.00000E+00
 0.27000E+01     0.19255E-01       0.00000E+00     0.20698E-02   0.00000E+00  0.00000E+00
 0.28000E+01     0.19000E-01       0.00000E+00     0.21257E-02   0.00000E+00  0.00000E+00
 0.29000E+01     0.18760E-01       0.00000E+00     0.21790E-02   0.00000E+00  0.00000E+00
 0.30000E+01     0.18531E-01       0.00000E+00     0.22295E-02   0.00000E+00  0.00000E+00
 0.31000E+01     0.18310E-01       0.00000E+00     0.22831E-02   0.00000E+00  0.00000E+00
 0.32000E+01     0.18091E-01       0.00000E+00     0.23326E-02   0.00000E+00  0.00000E+00
 0.33000E+01     0.17887E-01       0.00000E+00     0.23832E-02   0.00000E+00  0.00000E+00
