// t(s) RR_H2(kg/s) RR_CH4(kg/s) RR_CO(kg/s) RR_CO2(kg/s)	RR_Phenol(kg/s)	RR_H2O(kg/s) RR_1kg/sPropanol(kg/s) RR_2kg/sPropanol(kg/s) RR_Xylene(kg/s) RR_Cresol(kg/s) RR_Dimethyl_Phenol(kg/s) RR_Trimethyl_Phenol(kg/s) RR_Benzene(kg/s) RR_Toluene(kg/s)
24.1774 0 0 5.90451e-09 8.86802e-09 0 1.61957e-08 7.26488e-09 4.65775e-09 0 0 0 0 0 0 
27.1452 0 0 7.12014e-09 1.10509e-08 0 1.84296e-08 6.70604e-09 3.91251e-09 0 0 0 0 0 0 
30.1129 0 0 8.24895e-09 1.25517e-08 0 2.01051e-08 7.0786e-09 4.09882e-09 0 0 0 0 0 0 
33.2097 0 0 9.55141e-09 1.36431e-08 0 2.17805e-08 6.89232e-09 3.91251e-09 0 0 0 0 0 0 
36.4677 0 0 1.21563e-08 1.50074e-08 0 2.23389e-08 8.01e-09 3.91251e-09 0 0 0 0 0 0 
39.7903 0 0 1.30247e-08 1.63717e-08 0 2.51313e-08 8.56883e-09 3.7262e-09 0 0 0 0 0 0 
43.4032 0 0 1.47613e-08 1.63717e-08 0 2.56898e-08 8.56883e-09 3.7262e-09 0 0 0 0 0 0 
46.9516 0 0 1.64979e-08 1.63717e-08 0 2.79237e-08 8.01e-09 3.7262e-09 0 0 0 0 0 0 
50.5645 0 0 1.82345e-08 1.63717e-08 0 3.01576e-08 7.45116e-09 3.53989e-09 0 0 0 0 0 0 
54.2742 0 0 1.99711e-08 1.50074e-08 0 3.29499e-08 7.0786e-09 3.16727e-09 0 0 0 0 0 0 
58.1129 0 0 2.17078e-08 1.50074e-08 0 3.51838e-08 6.51977e-09 3.35358e-09 0 0 0 0 0 0 
62.0161 0 0 2.60493e-08 1.50074e-08 0 4.07686e-08 0 0 0 0 0 0 0 0 
66.0161 0 0 2.77859e-08 1.36431e-08 0 4.35609e-08 0 0 0 0 0 0 0 0 
70.2742 4.43722e-11 2.88399e-09 2.95225e-08 1.28245e-08 4.08437e-09 4.57948e-08 0 0 0 4.69328e-09 0 0 0 0 
74.3387 4.49971e-11 2.98344e-09 3.47324e-08 1.36431e-08 5.54308e-09 5.24965e-08 0 0 0 6.36945e-09 6.05948e-09 0 0 0 
78.5 7.49952e-11 3.13261e-09 3.9074e-08 1.50074e-08 8.16875e-09 6.14321e-08 0 0 0 8.38085e-09 1.06041e-08 0 0 0 
82.8871 1.12493e-10 3.38123e-09 4.16789e-08 1.50074e-08 1.19614e-08 6.70168e-08 0 0 0 1.20684e-08 1.28764e-08 6.75522e-09 2.20348e-09 0 
