// t(s) RR_H2(kg/s) RR_CH4(kg/s) RR_CO(kg/s) RR_CO2(kg/s)	RR_Phenol(kg/s)	RR_H2O(kg/s) RR_1kg/sPropanol(kg/s) RR_2kg/sPropanol(kg/s) RR_Xylene(kg/s) RR_Cresol(kg/s) RR_Dimethyl_Phenol(kg/s) RR_Trimethyl_Phenol(kg/s) RR_Benzene(kg/s) RR_Toluene(kg/s)
86.9516 1.93738e-10 3.82875e-09 4.60204e-08 1.63717e-08 1.80879e-08 7.81863e-08 0 0 0 1.77674e-08 1.85572e-08 6.75522e-09 2.20348e-09 2.85634e-09 
90.8226 2.99981e-10 4.57461e-09 5.12303e-08 1.7736e-08 2.27558e-08 8.93558e-08 0 0 0 2.31311e-08 2.31018e-08 6.75522e-09 2.25191e-09 3.14197e-09 
94.9839 5.06218e-10 4.47516e-09 5.73085e-08 1.91003e-08 3.20915e-08 1.0611e-07 0 0 2.99477e-09 3.28529e-08 3.4842e-08 8.44403e-09 2.27613e-09 3.14197e-09 
99.371 7.49952e-10 6.46412e-09 7.12014e-08 2.1829e-08 3.79263e-08 1.22864e-07 0 0 3.22514e-09 4.02281e-08 4.16589e-08 8.02183e-09 2.90569e-09 3.42761e-09 
103.5 1.18742e-09 9.9448e-09 7.98845e-08 2.31933e-08 4.66786e-08 1.34034e-07 0 0 4.93644e-09 5.02851e-08 4.54461e-08 9.28843e-09 3.14783e-09 3.99888e-09 
107.565 1.87488e-09 1.442e-08 9.55141e-08 2.31933e-08 5.83482e-08 1.50788e-07 0 0 7.56921e-09 6.03421e-08 5.30205e-08 9.28843e-09 3.87426e-09 4.28451e-09 
111.79 2.81232e-09 1.93924e-08 1.1288e-07 2.59219e-08 6.71004e-08 1.61957e-07 0 0 8.88559e-09 6.36945e-08 5.68077e-08 1.01328e-08 5.56924e-09 8.85465e-09 
115.694 3.93725e-09 2.6851e-08 1.30247e-07 2.45576e-08 7.00178e-08 1.67542e-07 0 0 1.18475e-08 7.03991e-08 5.68077e-08 9.28843e-09 6.05352e-09 1.19966e-08 
119.435 5.81213e-09 3.62985e-08 1.56296e-07 2.31933e-08 7.29353e-08 1.73127e-07 0 0 1.48093e-08 6.70468e-08 5.30205e-08 9.71063e-09 7.26423e-09 1.34248e-08 
123.048 7.49952e-09 4.72378e-08 1.73662e-07 2.31933e-08 7.29353e-08 1.73127e-07 0 0 1.61257e-08 6.03421e-08 4.54461e-08 9.71063e-09 7.99065e-09 1.74237e-08 
126.5 1.06243e-08 5.96688e-08 1.91028e-07 2.1829e-08 7.00178e-08 1.73127e-07 0 0 1.87585e-08 5.69898e-08 4.16589e-08 0 7.99065e-09 1.79949e-08 
130.081 1.31242e-08 6.46412e-08 2.08394e-07 2.04646e-08 6.4183e-08 1.61957e-07 0 0 1.77712e-08 4.69328e-08 3.44633e-08 0 9.20136e-09 1.85662e-08 
133.306 1.68739e-08 7.4586e-08 2.17078e-07 1.91003e-08 5.54308e-08 1.56373e-07 0 0 1.48093e-08 4.02281e-08 3.25697e-08 0 9.20136e-09 1.74237e-08 
136.468 1.99987e-08 7.4586e-08 2.25761e-07 1.7736e-08 4.66786e-08 1.45203e-07 0 0 1.31638e-08 3.35234e-08 2.49954e-08 0 9.20136e-09 1.65668e-08 
139.565 2.24986e-08 7.4586e-08 2.25761e-07 1.63717e-08 4.08437e-08 1.34034e-07 0 0 1.18475e-08 2.84949e-08 2.34805e-08 0 8.95922e-09 1.51386e-08 
142.532 2.56234e-08 7.4586e-08 2.08394e-07 1.50074e-08 3.50089e-08 1.28449e-07 0 0 1.08602e-08 2.5813e-08 2.0072e-08 0 8.71708e-09 1.31392e-08 
145.435 2.81232e-08 6.96136e-08 2.08394e-07 1.50074e-08 3.20915e-08 1.11695e-07 0 0 1.0202e-08 2.21254e-08 1.66636e-08 0 8.23279e-09 1.02828e-08 
148.371 3.0623e-08 6.46412e-08 1.99711e-07 1.28245e-08 2.74237e-08 1.00525e-07 0 0 8.5565e-09 1.91083e-08 1.51487e-08 0 7.74851e-09 9.14029e-09 
151.5 3.24979e-08 5.96688e-08 1.91028e-07 1.13238e-08 2.53815e-08 9.49405e-08 0 0 7.56921e-09 1.74322e-08 1.28764e-08 0 7.50637e-09 8.28339e-09 
154.403 3.43728e-08 5.46964e-08 1.82345e-07 1.06416e-08 2.27558e-08 8.37711e-08 0 0 6.25282e-09 1.60912e-08 1.17402e-08 0 7.02209e-09 7.71212e-09 
157.339 3.49978e-08 4.92268e-08 1.64979e-07 9.6866e-09 2.10054e-08 7.81863e-08 0 0 5.59463e-09 1.44151e-08 1.06041e-08 0 6.05352e-09 7.42648e-09 
160.435 3.56227e-08 4.57461e-08 1.56296e-07 9.41374e-09 1.95466e-08 7.26016e-08 0 0 4.60734e-09 1.30741e-08 9.08922e-09 0 5.56924e-09 6.85522e-09 
163.274 3.56227e-08 4.12709e-08 1.47613e-07 8.73158e-09 1.75045e-08 6.70168e-08 0 0 3.62006e-09 1.17332e-08 8.71051e-09 0 5.56924e-09 6.85522e-09 
165.887 3.49978e-08 3.7293e-08 1.3893e-07 8.32229e-09 1.6921e-08 5.58474e-08 0 0 3.94915e-09 1.1398e-08 8.71051e-09 0 5.08496e-09 6.28395e-09 
168.565 3.37478e-08 3.28178e-08 1.21563e-07 8.04943e-09 1.63375e-08 5.3055e-08 0 0 3.62006e-09 1.07275e-08 7.57435e-09 0 4.84282e-09 5.71268e-09 
171.306 3.24979e-08 2.98344e-08 1.1288e-07 7.36727e-09 1.60458e-08 4.85872e-08 0 0 3.62006e-09 1.07275e-08 7.19564e-09 0 4.35854e-09 5.14141e-09 
173.758 3.1248e-08 2.78454e-08 1.1288e-07 7.23084e-09 1.37118e-08 4.41194e-08 0 0 0 1.07275e-08 7.19564e-09 0 4.60068e-09 4.85578e-09 
176.177 2.99981e-08 2.58565e-08 1.04197e-07 6.82155e-09 1.34201e-08 4.07686e-08 0 0 0 9.38655e-09 7.19564e-09 0 4.35854e-09 4.57014e-09 
178.694 2.87482e-08 2.33703e-08 9.55141e-08 6.41226e-09 1.22531e-08 3.90932e-08 0 0 0 8.71608e-09 6.4382e-09 0 3.87426e-09 4.57014e-09 
181.048 2.74982e-08 2.23758e-08 9.55141e-08 6.13939e-09 1.19614e-08 3.63008e-08 0 0 0 8.04562e-09 6.4382e-09 0 3.63211e-09 4.28451e-09 
183.371 2.62483e-08 2.08841e-08 8.6831e-08 5.86653e-09 1.16696e-08 3.35084e-08 0 0 0 8.04562e-09 6.4382e-09 0 3.38997e-09 4.28451e-09 
185.629 2.56234e-08 1.98896e-08 8.50944e-08 5.7301e-09 1.10862e-08 3.23915e-08 0 0 0 8.04562e-09 5.68077e-09 0 3.38997e-09 3.42761e-09 
187.919 2.49984e-08 1.88951e-08 8.33578e-08 5.32081e-09 1.07944e-08 3.12745e-08 0 0 0 8.04562e-09 0 0 3.38997e-09 3.71324e-09 
190.306 2.43734e-08 1.79006e-08 7.90162e-08 5.32081e-09 1.02109e-08 2.90406e-08 0 0 0 7.71038e-09 0 0 3.38997e-09 3.42761e-09 
192.5 2.31235e-08 1.69062e-08 7.5543e-08 5.32081e-09 1.02109e-08 2.84822e-08 0 0 0 7.37515e-09 0 0 3.14783e-09 3.42761e-09 
194.694 2.31235e-08 1.64089e-08 7.46747e-08 5.18438e-09 9.62745e-09 2.62483e-08 0 0 0 7.37515e-09 0 0 3.14783e-09 3.42761e-09 
196.952 2.24986e-08 1.59117e-08 7.20697e-08 5.04795e-09 9.91919e-09 2.45728e-08 0 0 0 7.03991e-09 0 0 2.90569e-09 3.42761e-09 
199.242 2.18736e-08 1.54144e-08 7.03331e-08 4.77509e-09 9.62745e-09 2.45728e-08 0 0 0 6.36945e-09 0 0 0 3.42761e-09 
201.532 2.12486e-08 1.442e-08 6.85965e-08 4.63865e-09 8.75223e-09 2.34559e-08 0 0 0 6.36945e-09 0 0 0 3.42761e-09 
203.823 2.12486e-08 1.442e-08 6.77282e-08 4.63865e-09 8.75223e-09 2.28974e-08 0 0 0 0 0 0 0 3.71324e-09 
206.21 2.06237e-08 1.34255e-08 6.51233e-08 4.50222e-09 8.46049e-09 2.17805e-08 0 0 0 0 0 0 0 3.42761e-09 
208.5 2.06237e-08 1.29282e-08 6.51233e-08 4.36579e-09 8.46049e-09 2.06635e-08 0 0 0 0 0 0 0 0 
210.855 1.99987e-08 1.29282e-08 6.165e-08 4.36579e-09 7.87701e-09 2.01051e-08 0 0 0 0 0 0 0 0 
213.306 1.93738e-08 1.2431e-08 6.165e-08 4.22936e-09 7.29352e-09 1.95466e-08 0 0 0 0 0 0 0 0 
215.597 1.93738e-08 1.19338e-08 6.07817e-08 4.22936e-09 7.00178e-09 1.95466e-08 0 0 0 0 0 0 0 0 
217.887 1.87488e-08 1.14365e-08 5.90451e-08 4.22936e-09 7.00178e-09 1.84296e-08 0 0 0 0 0 0 0 0 
220.177 1.81238e-08 1.09393e-08 5.81768e-08 4.09293e-09 6.71004e-09 1.78712e-08 0 0 0 0 0 0 0 0 
222.435 1.81238e-08 1.0442e-08 5.81768e-08 4.09293e-09 6.4183e-09 1.78712e-08 0 0 0 0 0 0 0 0 
224.823 1.87488e-08 1.0442e-08 5.90451e-08 4.22936e-09 0 1.78712e-08 0 0 0 0 0 0 0 0 
227.048 1.81238e-08 9.9448e-09 5.55718e-08 3.82007e-09 0 1.56373e-08 0 0 0 0 0 0 0 0 
229.306 1.74989e-08 9.9448e-09 5.47035e-08 3.82007e-09 0 1.50788e-08 0 0 0 0 0 0 0 0 
231.532 1.68739e-08 9.44756e-09 5.38352e-08 3.68364e-09 0 1.56373e-08 0 0 0 0 0 0 0 0 
233.726 1.68739e-08 9.44756e-09 5.29669e-08 3.68364e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
235.952 1.6249e-08 8.95032e-09 5.29669e-08 3.54721e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
238.21 1.68739e-08 8.95032e-09 5.29669e-08 3.54721e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
240.694 1.68739e-08 8.95032e-09 5.29669e-08 3.41078e-09 0 1.50788e-08 0 0 0 0 0 0 0 0 
243.145 1.68739e-08 8.95032e-09 5.29669e-08 3.54721e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
245.758 1.74989e-08 8.95032e-09 5.47035e-08 3.41078e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
248.435 1.81238e-08 8.95032e-09 5.55718e-08 3.41078e-09 0 1.39618e-08 0 0 0 0 0 0 0 0 
251.274 1.87488e-08 9.44756e-09 5.64402e-08 3.41078e-09 0 1.39618e-08 0 0 0 0 0 0 0 0 
254.177 1.87488e-08 8.95032e-09 5.73085e-08 3.41078e-09 0 1.39618e-08 0 0 0 0 0 0 0 0 
257.048 1.87488e-08 8.95032e-09 5.81768e-08 3.54721e-09 0 1.39618e-08 0 0 0 0 0 0 0 0 
260.145 1.87488e-08 8.95032e-09 5.81768e-08 3.54721e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
263.081 1.87488e-08 8.45308e-09 5.73085e-08 3.41078e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
265.952 1.87488e-08 8.95032e-09 5.81768e-08 3.27434e-09 0 1.45203e-08 0 0 0 0 0 0 0 0 
268.952 1.87488e-08 8.95032e-09 5.81768e-08 3.27434e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
271.79 1.87488e-08 8.45308e-09 5.81768e-08 3.27434e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
274.565 1.87488e-08 8.45308e-09 5.81768e-08 3.27434e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
277.339 1.81238e-08 8.45308e-09 5.73085e-08 3.13791e-09 0 1.39618e-08 0 0 0 0 0 0 0 0 
280.113 1.81238e-08 8.45308e-09 5.73085e-08 3.13791e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
283.081 1.74989e-08 7.95584e-09 5.73085e-08 3.13791e-09 0 1.34034e-08 0 0 0 0 0 0 0 0 
285.855 1.81238e-08 7.95584e-09 5.73085e-08 3.13791e-09 0 1.17279e-08 0 0 0 0 0 0 0 0 
288.661 1.74989e-08 7.95584e-09 5.64402e-08 3.00148e-09 0 1.28449e-08 0 0 0 0 0 0 0 0 
291.468 1.74989e-08 7.95584e-09 5.55718e-08 3.13791e-09 0 1.0611e-08 0 0 0 0 0 0 0 0 
294.21 1.68739e-08 7.4586e-09 5.47035e-08 2.86505e-09 0 1.17279e-08 0 0 0 0 0 0 0 0 
296.984 1.68739e-08 7.4586e-09 5.55718e-08 2.86505e-09 0 1.11695e-08 0 0 0 0 0 0 0 0 
299.758 1.6249e-08 6.96136e-09 5.47035e-08 2.72862e-09 0 1.17279e-08 0 0 0 0 0 0 0 0 
302.629 1.6249e-08 6.96136e-09 5.47035e-08 2.86505e-09 0 1.17279e-08 0 0 0 0 0 0 0 0 
305.339 1.5624e-08 7.4586e-09 5.55718e-08 2.59219e-09 0 1.0611e-08 0 0 0 0 0 0 0 0 
308.048 1.4999e-08 6.96136e-09 5.47035e-08 2.45576e-09 0 1.00525e-08 0 0 0 0 0 0 0 0 
310.726 1.4999e-08 6.96136e-09 5.47035e-08 2.45576e-09 0 1.0611e-08 0 0 0 0 0 0 0 0 
313.339 1.43741e-08 6.96136e-09 5.47035e-08 2.59219e-09 0 9.49405e-09 0 0 0 0 0 0 0 0 
316.016 1.43741e-08 6.46412e-09 5.38352e-08 2.59219e-09 0 9.49405e-09 0 0 0 0 0 0 0 0 
318.661 1.37491e-08 6.46412e-09 5.38352e-08 2.59219e-09 0 9.49405e-09 0 0 0 0 0 0 0 0 
321.435 1.37491e-08 6.46412e-09 5.29669e-08 2.45576e-09 0 8.93558e-09 0 0 0 0 0 0 0 0 
323.984 1.31242e-08 5.96688e-09 5.20986e-08 2.45576e-09 0 8.93558e-09 0 0 0 0 0 0 0 0 
326.532 1.31242e-08 5.96688e-09 5.12303e-08 2.31933e-09 0 8.93558e-09 0 0 0 0 0 0 0 0 
329.339 1.31242e-08 5.96688e-09 5.12303e-08 2.45576e-09 0 8.93558e-09 0 0 0 0 0 0 0 0 
331.952 1.24992e-08 5.96688e-09 5.12303e-08 2.31933e-09 0 1.00525e-08 0 0 0 0 0 0 0 0 
334.5 1.24992e-08 5.96688e-09 5.12303e-08 2.31933e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
336.952 1.18742e-08 5.46964e-09 4.94937e-08 2.1829e-09 0 9.49405e-09 0 0 0 0 0 0 0 0 
339.339 1.18742e-08 5.46964e-09 4.94937e-08 2.1829e-09 0 9.49405e-09 0 0 0 0 0 0 0 0 
341.855 1.18742e-08 5.46964e-09 5.0362e-08 2.1829e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
344.371 1.18742e-08 5.46964e-09 5.0362e-08 2.1829e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
346.855 1.18742e-08 5.46964e-09 5.0362e-08 2.04646e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
349.339 1.18742e-08 5.46964e-09 5.0362e-08 2.1829e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
351.855 1.18742e-08 5.46964e-09 4.94937e-08 2.31933e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
354.371 1.18742e-08 5.46964e-09 4.94937e-08 2.31933e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
356.887 1.12493e-08 4.9724e-09 5.0362e-08 2.1829e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
359.468 1.18742e-08 4.9724e-09 5.12303e-08 2.31933e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
361.952 1.18742e-08 4.9724e-09 5.12303e-08 2.31933e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
364.339 1.18742e-08 4.9724e-09 5.12303e-08 2.04646e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
366.661 1.12493e-08 4.9724e-09 5.0362e-08 2.04646e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
368.952 1.12493e-08 4.9724e-09 4.94937e-08 1.91003e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
371.177 1.12493e-08 4.9724e-09 4.94937e-08 1.91003e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
373.242 1.12493e-08 4.9724e-09 4.94937e-08 1.91003e-09 0 8.37711e-09 0 0 0 0 0 0 0 0 
375.274 1.06243e-08 4.9724e-09 4.86254e-08 1.63717e-09 0 7.81863e-09 0 0 0 0 0 0 0 0 
