// t(s) normalizedPi_CH4[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 8.95386e-06
74.3387 9.16569e-06
78.5 9.64894e-06
82.8871 1.04553e-05
86.9516 1.16189e-05
90.8226 1.44064e-05
94.9839 1.36736e-05
99.371 1.96459e-05
103.5 3.07274e-05
107.565 4.39262e-05
111.79 5.87204e-05
115.694 8.19273e-05
119.435 0.000109944
123.048 0.000143958
126.5 0.000180677
130.081 0.000197928
133.306 0.000226229
136.468 0.000228091
139.565 0.000227052
142.532 0.000228354
145.435 0.000212354
148.371 0.000198366
151.5 0.000182178
154.403 0.000166745
157.339 0.000151382
160.435 0.000139972
163.274 0.000126119
165.887 0.000113646
168.565 0.000101087
171.306 9.18274e-05
173.758 8.48015e-05
176.177 7.89928e-05
178.694 7.23327e-05
181.048 6.7768e-05
183.371 6.44866e-05
185.629 6.04958e-05
187.919 5.78085e-05
190.306 5.49565e-05
192.5 5.18605e-05
194.694 5.00297e-05
196.952 4.85382e-05
199.242 4.72267e-05
201.532 4.39252e-05
203.823 4.41634e-05
206.21 4.11164e-05
208.5 3.94984e-05
210.855 3.97228e-05
213.306 3.80613e-05
215.597 3.63022e-05
217.887 3.50279e-05
220.177 3.35945e-05
222.435 3.16271e-05
224.823 3.17682e-05
227.048 3.07726e-05
229.306 3.04335e-05
231.532 2.88471e-05
233.726 2.89275e-05
235.952 2.74892e-05
238.21 2.73449e-05
240.694 2.72964e-05
243.145 2.75467e-05
245.758 2.72693e-05
248.435 2.74337e-05
251.274 2.87628e-05
254.177 2.73975e-05
257.048 2.72534e-05
260.145 2.73689e-05
263.081 2.59371e-05
265.952 2.72011e-05
268.952 2.74e-05
271.79 2.58678e-05
274.565 2.57682e-05
277.339 2.58687e-05
280.113 2.57961e-05
283.081 2.43251e-05
285.855 2.43489e-05
288.661 2.41636e-05
291.468 2.4436e-05
294.21 2.28848e-05
296.984 2.26825e-05
299.758 2.13734e-05
302.629 2.12323e-05
305.339 2.26701e-05
308.048 2.14709e-05
310.726 2.11491e-05
313.339 2.1289e-05
316.016 1.97998e-05
318.661 1.97001e-05
321.435 1.97408e-05
323.984 1.82916e-05
326.532 1.82986e-05
329.339 1.82484e-05
331.952 1.81252e-05
334.5 1.82295e-05
336.952 1.68187e-05
339.339 1.66733e-05
341.855 1.67608e-05
344.371 1.67101e-05
346.855 1.67321e-05
349.339 1.66705e-05
351.855 1.67571e-05
354.371 1.66962e-05
356.887 1.52986e-05
359.468 1.51436e-05
361.952 1.51572e-05
364.339 1.51397e-05
366.661 1.52226e-05
368.952 1.52486e-05
371.177 1.51976e-05
373.242 1.50823e-05
375.274 1.54374e-05
