// t(s) normalizedPi_CO2[1/s]
24.1774 2.84718e-05
27.1452 3.38717e-05
30.1129 3.81814e-05
33.2097 4.21072e-05
36.4677 4.58425e-05
39.7903 4.95179e-05
43.4032 5.02312e-05
46.9516 5.00166e-05
50.5645 4.99177e-05
54.2742 4.60565e-05
58.1129 4.53757e-05
62.0161 4.63102e-05
66.0161 4.32021e-05
70.2742 3.98159e-05
74.3387 4.19142e-05
78.5 4.62252e-05
82.8871 4.64053e-05
86.9516 4.96825e-05
90.8226 5.58543e-05
94.9839 5.83599e-05
99.371 6.63429e-05
103.5 7.16624e-05
107.565 7.06515e-05
111.79 7.8492e-05
115.694 7.49297e-05
119.435 7.025e-05
123.048 7.06821e-05
126.5 6.6098e-05
130.081 6.26618e-05
133.306 5.79337e-05
136.468 5.42384e-05
139.565 4.98383e-05
142.532 4.5947e-05
145.435 4.57796e-05
148.371 3.93549e-05
151.5 3.45732e-05
154.403 3.24416e-05
157.339 2.97882e-05
160.435 2.88037e-05
163.274 2.66827e-05
165.887 2.53612e-05
168.565 2.47943e-05
171.306 2.26757e-05
173.758 2.20211e-05
176.177 2.08402e-05
178.694 1.98464e-05
181.048 1.8594e-05
183.371 1.81149e-05
185.629 1.74286e-05
187.919 1.62787e-05
190.306 1.63353e-05
192.5 1.63219e-05
194.694 1.58068e-05
196.952 1.53986e-05
199.242 1.46299e-05
201.532 1.413e-05
203.823 1.42066e-05
206.21 1.37884e-05
208.5 1.33384e-05
210.855 1.34142e-05
213.306 1.29495e-05
215.597 1.28656e-05
217.887 1.29537e-05
220.177 1.25694e-05
222.435 1.23968e-05
224.823 1.28672e-05
227.048 1.18206e-05
229.306 1.16903e-05
231.532 1.12476e-05
233.726 1.12789e-05
235.952 1.08946e-05
238.21 1.08374e-05
240.694 1.04021e-05
243.145 1.09173e-05
245.758 1.03917e-05
248.435 1.04544e-05
251.274 1.0384e-05
254.177 1.04406e-05
257.048 1.08011e-05
260.145 1.08469e-05
263.081 1.04655e-05
265.952 9.95113e-06
268.952 1.00239e-05
271.79 1.002e-05
274.565 9.98143e-06
277.339 9.60288e-06
280.113 9.57589e-06
283.081 9.5942e-06
285.855 9.6036e-06
288.661 9.11616e-06
291.468 9.63794e-06
294.21 8.79066e-06
296.984 8.71296e-06
299.758 8.37767e-06
302.629 8.73849e-06
305.339 7.87885e-06
308.048 7.5743e-06
310.726 7.46078e-06
313.339 7.92733e-06
316.016 7.93994e-06
318.661 7.89998e-06
321.435 7.49963e-06
323.984 7.52817e-06
326.532 7.11266e-06
329.339 7.5104e-06
331.952 7.04528e-06
334.5 7.08582e-06
336.952 6.71223e-06
339.339 6.6542e-06
341.855 6.68912e-06
344.371 6.66888e-06
346.855 6.26031e-06
349.339 6.65307e-06
351.855 7.10563e-06
354.371 7.07979e-06
356.887 6.71613e-06
359.468 7.06356e-06
361.952 7.06995e-06
364.339 6.23098e-06
366.661 6.26508e-06
368.952 5.85739e-06
371.177 5.83782e-06
373.242 5.79353e-06
375.274 5.08278e-06
