// t(s) normalizedPi_CO[1/s]
24.1774 1.89571e-05
27.1452 2.18237e-05
30.1129 2.50928e-05
33.2097 2.94789e-05
36.4677 3.71335e-05
39.7903 3.93944e-05
43.4032 4.52901e-05
46.9516 5.04021e-05
50.5645 5.55974e-05
54.2742 6.12898e-05
58.1129 6.56345e-05
62.0161 8.03835e-05
66.0161 8.79865e-05
70.2742 9.16579e-05
74.3387 0.000106705
78.5 0.000120354
82.8871 0.000128878
86.9516 0.000139656
90.8226 0.000161334
94.9839 0.000175102
99.371 0.000216396
103.5 0.000246827
107.565 0.000290956
111.79 0.000341804
115.694 0.000397406
119.435 0.000473403
123.048 0.000529239
126.5 0.000578433
130.081 0.000638093
133.306 0.000658423
136.468 0.000690397
139.565 0.000687254
142.532 0.000638025
145.435 0.000635701
148.371 0.00061286
151.5 0.000583237
154.403 0.00055589
157.339 0.000507342
160.435 0.000478227
163.274 0.000451087
165.887 0.000423372
168.565 0.000374446
171.306 0.000347434
173.758 0.00034377
176.177 0.000318327
178.694 0.000295623
181.048 0.000289277
183.371 0.00026812
185.629 0.000258821
187.919 0.000255028
190.306 0.000242587
192.5 0.000231732
194.694 0.000227678
196.952 0.000219847
199.242 0.000215486
201.532 0.000208954
203.823 0.000207428
206.21 0.000199444
208.5 0.000198965
210.855 0.000189424
213.306 0.00018876
215.597 0.000184897
217.887 0.000180844
220.177 0.000178661
222.435 0.000176207
224.823 0.000179635
227.048 0.000171958
229.306 0.000167406
231.532 0.00016438
233.726 0.00016218
235.952 0.000162678
238.21 0.000161824
240.694 0.000161537
243.145 0.000163018
245.758 0.000166668
248.435 0.000170334
251.274 0.00017183
254.177 0.000175425
257.048 0.000177146
260.145 0.000177897
263.081 0.000175843
265.952 0.000176806
268.952 0.000178099
271.79 0.00017803
274.565 0.000177345
277.339 0.00017538
280.113 0.000174887
283.081 0.000175221
285.855 0.000175393
288.661 0.000171421
291.468 0.000170686
294.21 0.000167844
296.984 0.000169
299.758 0.000167956
302.629 0.000166847
305.339 0.000168908
308.048 0.000168722
310.726 0.000166194
313.339 0.000167292
316.016 0.000164899
318.661 0.000164069
321.435 0.000161755
323.984 0.000159709
326.532 0.000157108
329.339 0.000156677
331.952 0.000155619
334.5 0.000156515
336.952 0.000152189
339.339 0.000150873
341.855 0.000154326
344.371 0.000153859
346.855 0.000154061
349.339 0.000153494
351.855 0.000151632
354.371 0.00015108
356.887 0.000154949
359.468 0.000156023
361.952 0.000156164
364.339 0.000155984
366.661 0.000154179
368.952 0.000151779
371.177 0.000151272
373.242 0.000150125
375.274 0.000150963
