// t(s) normalizedPi_C7H8,Toluene[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 0
74.3387 0
78.5 0
82.8871 0
86.9516 8.668e-06
90.8226 9.8947e-06
94.9839 9.6001e-06
99.371 1.04172e-05
103.5 1.23557e-05
107.565 1.30515e-05
111.79 2.68121e-05
115.694 3.66039e-05
119.435 4.06623e-05
123.048 5.30991e-05
126.5 5.44886e-05
130.081 5.68488e-05
133.306 5.28482e-05
136.468 5.06627e-05
139.565 4.60845e-05
142.532 4.02272e-05
145.435 3.13674e-05
148.371 2.80491e-05
151.5 2.52904e-05
154.403 2.35109e-05
157.339 2.28379e-05
160.435 2.09753e-05
163.274 2.09488e-05
165.887 1.91496e-05
168.565 1.75965e-05
171.306 1.58248e-05
173.758 1.4788e-05
176.177 1.3962e-05
178.694 1.41449e-05
181.048 1.29762e-05
183.371 1.32299e-05
185.629 1.04253e-05
187.919 1.13604e-05
190.306 1.05231e-05
192.5 1.05144e-05
194.694 1.04506e-05
196.952 1.04558e-05
199.242 1.05015e-05
201.532 1.0441e-05
203.823 1.13724e-05
206.21 1.04973e-05
208.5 0
210.855 0
213.306 0
215.597 0
217.887 0
220.177 0
222.435 0
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
