// t(s) derivativeMassLoss(1/s)
24.1774 0.000137706
27.1452 0.00014473
30.1129 0.000158434
33.2097 0.000172155
36.4677 0.000187633
39.7903 0.000202112
43.4032 0.000212065
46.9516 0.000221582
50.5645 0.000230978
54.2742 0.000239911
58.1129 0.000247243
62.0161 0.000252498
66.0161 0.000269128
70.2742 0.000309995
74.3387 0.000374415
78.5 0.000449318
82.8871 0.000535135
86.9516 0.000639791
90.8226 0.000769458
94.9839 0.000929291
99.371 0.00109564
103.5 0.00127307
107.565 0.00146985
111.79 0.00164727
115.694 0.00179881
119.435 0.0019171
123.048 0.00199519
126.5 0.00202781
130.081 0.00201997
133.306 0.00198267
136.468 0.00191869
139.565 0.00183264
142.532 0.00173187
145.435 0.00162417
148.371 0.00152041
151.5 0.00143042
154.403 0.00133344
157.339 0.00123677
160.435 0.00115788
163.274 0.00108254
165.887 0.000998742
168.565 0.000918066
171.306 0.000856445
173.758 0.00080526
176.177 0.000753292
178.694 0.00070874
181.048 0.000672932
183.371 0.000639695
185.629 0.000609408
187.919 0.000580651
190.306 0.000553815
192.5 0.000532334
194.694 0.000515934
196.952 0.000498427
199.242 0.000479158
201.532 0.000459689
203.823 0.00043918
206.21 0.000420623
208.5 0.00040379
210.855 0.000389985
213.306 0.000381269
215.597 0.000373758
217.887 0.000364141
220.177 0.000355971
222.435 0.000348693
224.823 0.000335681
227.048 0.00031902
229.306 0.000309226
231.532 0.000303744
233.726 0.000298512
235.952 0.000295564
238.21 0.000295921
240.694 0.000296683
243.145 0.000298105
245.758 0.000301883
248.435 0.000306568
251.274 0.000310563
254.177 0.000313393
257.048 0.000314804
260.145 0.00031443
263.081 0.000314328
265.952 0.000315067
268.952 0.000313952
271.79 0.000312309
274.565 0.000311106
277.339 0.000309042
280.113 0.00030647
283.081 0.000303624
285.855 0.000300707
288.661 0.000296862
291.468 0.000291098
294.21 0.000287276
296.984 0.000285679
299.758 0.000283604
302.629 0.000282148
305.339 0.000279197
308.048 0.000275034
310.726 0.000272609
313.339 0.000269501
316.016 0.000265747
318.661 0.000262505
321.435 0.000258273
323.984 0.000253153
326.532 0.000250169
329.339 0.0002499
331.952 0.000249294
334.5 0.00024561
336.952 0.000241426
339.339 0.000239338
341.855 0.000238121
344.371 0.000237401
346.855 0.000237296
349.339 0.000236838
351.855 0.000235827
354.371 0.000234969
356.887 0.00023563
359.468 0.000238205
361.952 0.000240123
364.339 0.000239015
366.661 0.000235751
368.952 0.000233072
371.177 0.000232294
373.242 0.000230531
375.274 0.000228741
