        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
          4690          5000   1.03225e+07        4380.55   0.000137468         0.9442     0.0029844
          4740          5000   1.05499e+07        4720.32   0.000138505        1.02708    0.00294143
          4790          5000    1.0795e+07         5089.7   0.000139545        1.11711    0.00289827
          4840          5000   1.10594e+07        5489.75   0.000140588        1.21447    0.00285485
          4890          5000   1.13445e+07        5921.37   0.000141636        1.31929    0.00281109
          4940          5000    1.1652e+07        6385.22   0.000142688        1.43162    0.00276697
          4990          5000   1.19836e+07        6881.72   0.000143748         1.5514    0.00272241
          5040          5000   1.23408e+07        7410.94   0.000144774        1.67792     0.0026774
          5090          5000   1.27252e+07         7972.5   0.000145799        1.81121     0.0026319
          5140          5000   1.31385e+07        8565.51   0.000146833        1.95093    0.00258591
          5190          5000   1.35823e+07        9188.44   0.000147878        2.09642    0.00253942
          5240          5000   1.40578e+07        9839.02   0.000148936        2.24685    0.00249244
          5290          5000   1.45666e+07        10514.1   0.000150008        2.40117      0.002445
          5340          5000   1.51096e+07        11209.5   0.000151096        2.55806    0.00239716
          5390          5000   1.56878e+07        11919.9   0.000152202          2.716    0.00234897
          5440          5000   1.63017e+07        12638.8   0.000153326        2.87317    0.00230051
          5490          5000   1.69516e+07        13358.3   0.000154472        3.02754    0.00225188
          5540          5000   1.76374e+07        14069.1   0.000155641        3.17683     0.0022032
          5590          5000   1.83582e+07        14760.8   0.000156833        3.31856    0.00215459
          5640          5000   1.91129e+07        15421.3    0.00015805        3.45009     0.0021062
          5690          5000   1.98996e+07        16037.8   0.000159293        3.56873    0.00205818
          5740          5000   2.07158e+07        16596.6   0.000160561        3.67176     0.0020107
          5790          5000   2.15581e+07        17083.7   0.000161856         3.7566    0.00196393
          5840          5000   2.24227e+07        17485.4   0.000163176        3.82089    0.00191804
          5890          5000    2.3305e+07        17788.9    0.00016452        3.86264     0.0018732
          5940          5000   2.41998e+07        17983.3   0.000165887        3.88035    0.00182959
          5990          5000   2.51014e+07          18060   0.000167274        3.87314    0.00178733
          6040          5000   2.60037e+07        18013.5   0.000168621        3.83877    0.00174658
          6090          5000   2.69006e+07        17842.2   0.000169963         3.7794    0.00170744
          6140          5000   2.77859e+07        17548.4   0.000171313        3.69689       0.00167
          6190          5000   2.86535e+07        17138.5   0.000172666         3.5933    0.00163434
          6240          5000    2.9498e+07        16622.7   0.000174021        3.47125    0.00160048
          6290          5000   3.03143e+07        16014.5   0.000175372        3.33386    0.00156845
          6340          5000   3.10982e+07        15329.8   0.000176719         3.1845    0.00153823
          6390          5000   3.18463e+07        14586.1   0.000178057        3.02668    0.00150978
          6440          5000   3.25561e+07        13801.3   0.000179384        2.86383    0.00148306
          6490          5000    3.3226e+07          12993     0.0001807        2.69918    0.00145799
          6540          5000   3.38553e+07        12177.6   0.000182003        2.53565    0.00143449
          6590          5000   3.44439e+07        11369.6   0.000183291        2.37572    0.00141247
          6640          5000   3.49926e+07        10581.6   0.000184565        2.22144    0.00139183
          6690          5000   3.55025e+07        9823.27   0.000185825         2.0744    0.00137248
          6740          5000   3.59755e+07        9102.37    0.00018707        1.93575     0.0013543
          6790          5000   3.64135e+07        8424.18   0.000188302        1.80622    0.00133721
          6840          5000   3.68187e+07           7792    0.00018952        1.68622    0.00132111
          6890          5000   3.71935e+07        7207.38   0.000190726        1.57585    0.00130591
          6940          5000   3.75402e+07         6670.5   0.000191921        1.47498    0.00129153
          6990          5000   3.78613e+07        6180.39   0.000193105        1.38332     0.0012779
          7040          5000    3.8159e+07        5735.28    0.00019428        1.30043    0.00126493
          7090          5000   3.84355e+07        5332.81   0.000195446         1.2258    0.00125257
          7140          5000    3.8693e+07        4970.25   0.000196604        1.15887    0.00124076
          7190          5000   3.89332e+07        4644.68   0.000197756        1.09904    0.00122945
          7240          5000    3.9158e+07         4353.1   0.000198901        1.04573    0.00121859
          7290          5000    3.9369e+07        4092.52   0.000200042       0.998358    0.00120814
          7340          5000   3.95677e+07        3860.08   0.000201178        0.95637    0.00119806
          7390          5000   3.97554e+07        3653.05    0.00020231       0.919245    0.00118831
          7440          5000   3.99334e+07        3468.85   0.000203439       0.886498    0.00117888
          7490          5000   4.01027e+07        3305.12   0.000204566        0.85768    0.00116973
          7540          5000   4.02642e+07         3159.7    0.00020569       0.832381    0.00116083
          7590          5000   4.04189e+07        3030.59   0.000206812       0.810227    0.00115218
          7640          5000   4.05675e+07        2916.02   0.000207934       0.790881    0.00114374
          7690          5000   4.07107e+07        2814.37   0.000209054       0.774038    0.00113551
          7740          5000   4.08491e+07        2724.19   0.000210174       0.759426    0.00112747
          7790          5000   4.09833e+07        2644.19   0.000211293       0.746799     0.0011196
          7840          5000   4.11137e+07        2573.22   0.000212413        0.73594     0.0011119
          7890          5000   4.12408e+07        2510.25   0.000213533       0.726653    0.00110436
          7940          5000   4.13649e+07        2454.37   0.000214653       0.718766    0.00109696
          7990          5000   4.14863e+07        2404.78   0.000215774       0.712123    0.00108969
          8040          5000   4.16054e+07        2360.77   0.000216821       0.706332    0.00108256
          8090          5000   4.17225e+07        2321.68   0.000217849       0.701464    0.00107555
          8140          5000   4.18377e+07        2286.98   0.000218876       0.697475    0.00106866
          8190          5000   4.19512e+07        2256.15   0.000219904       0.694269    0.00106188
          8240          5000   4.20633e+07        2228.77   0.000220932       0.691759     0.0010552
          8290          5000   4.21742e+07        2204.44    0.00022196        0.68987    0.00104863
          8340          5000   4.22838e+07        2182.82   0.000222988       0.688535    0.00104216
          8390          5000   4.23925e+07        2163.61   0.000224018       0.687692    0.00103578
          8440          5000   4.25002e+07        2146.53   0.000225047        0.68729    0.00102949
          8490          5000   4.26072e+07        2131.35   0.000226078        0.68728    0.00102329
          8540          5000   4.27134e+07        2117.87   0.000227109       0.687621    0.00101718
          8590          5000    4.2819e+07        2105.88   0.000228141       0.688276    0.00101115
          8640          5000    4.2924e+07        2095.23   0.000229174       0.689211    0.00100519
          8690          5000   4.30285e+07        2085.78   0.000230207       0.690396   0.000999317
          8740          5000   4.31326e+07        2077.38   0.000231242       0.691805   0.000993517
          8790          5000   4.32363e+07        2069.92   0.000232278       0.693416   0.000987791
          8840          5000   4.33396e+07        2063.31   0.000233316       0.695206   0.000982135
          8890          5000   4.34426e+07        2057.44   0.000234354       0.697157   0.000976549
          8940          5000   4.35454e+07        2052.24   0.000235394       0.699253   0.000971031
          8990          5000   4.36479e+07        2047.64   0.000236434       0.701478   0.000965578
          9040          5000   4.37501e+07        2043.57   0.000237477        0.70382   0.000960191
          9090          5000   4.38522e+07        2039.97    0.00023852       0.706266   0.000954866
          9140          5000   4.39541e+07         2036.8   0.000239565       0.708806   0.000949603
          9190          5000   4.40559e+07           2034   0.000240612        0.71143   0.000944401
          9240          5000   4.41575e+07        2031.54    0.00024166       0.714129   0.000939258
          9290          5000   4.42591e+07        2029.38   0.000242709       0.716897   0.000934172
          9340          5000   4.43605e+07        2027.48    0.00024376       0.719727   0.000929144
          9390          5000   4.44618e+07        2025.82   0.000244813       0.722611   0.000924171
          9440          5000   4.45631e+07        2024.38   0.000245867       0.725545   0.000919253
          9490          5000   4.46643e+07        2023.12   0.000246923       0.728524   0.000914388
          9540          5000   4.47654e+07        2022.03    0.00024798       0.731543   0.000909576
          9590          5000   4.48665e+07        2021.09   0.000249039       0.734598   0.000904816
          9640          5000   4.49675e+07        2020.28     0.0002501       0.737687   0.000900106
          9690          5000   4.50685e+07        2019.59   0.000251163       0.740805   0.000895447
          9740          5000   4.51695e+07        2019.01   0.000252228        0.74395   0.000890836
          9790          5000   4.52704e+07        2018.51   0.000253294       0.747119   0.000886273
          9840          5000   4.53713e+07         2018.1   0.000254362        0.75031   0.000881758
          9890          5000   4.54722e+07        2017.76   0.000255432       0.753521   0.000877289
          9940          5000   4.55731e+07        2017.48   0.000256504        0.75675   0.000872866
          9990          5000    4.5674e+07        2017.26   0.000257577       0.759996   0.000868488
         10040          5000   4.57748e+07        2017.09   0.000258555       0.762962   0.000864154
         10090          5000   4.58757e+07        2016.96   0.000259508       0.765864   0.000859863
         10140          5000   4.59765e+07        2016.87   0.000260462       0.768775   0.000855616
         10190          5000   4.60774e+07        2016.81   0.000261417       0.771695    0.00085141
         10240          5000   4.61782e+07        2016.77   0.000262372       0.774621   0.000847247
         10290          5000    4.6279e+07        2016.77   0.000263329       0.777554   0.000843124
         10340          5000   4.63799e+07        2016.78   0.000264286       0.780492   0.000839041
         10390          5000   4.64807e+07        2016.81   0.000265243       0.783434   0.000834998
         10440          5000   4.65816e+07        2016.85   0.000266202       0.786381   0.000830994
         10490          5000   4.66824e+07        2016.91   0.000267161       0.789332   0.000827029
         10540          5000   4.67832e+07        2016.97   0.000268121       0.792286   0.000823102
         10590          5000   4.68841e+07        2017.05   0.000269082       0.795242   0.000819211
         10640          5000   4.69849e+07        2017.13   0.000270043       0.798201   0.000815358
         10690          5000   4.70858e+07        2017.21   0.000271006       0.801162   0.000811541
         10740          5000   4.71867e+07         2017.3   0.000271969       0.804125    0.00080776
         10790          5000   4.72875e+07        2017.39   0.000272933        0.80709   0.000804014
         10840          5000   4.73884e+07        2017.49   0.000273898       0.810056   0.000800302
         10890          5000   4.74893e+07        2017.58   0.000274864       0.813024   0.000796625
         10940          5000   4.75902e+07        2017.67   0.000275831       0.815993   0.000792982
         10990          5000   4.76911e+07        2017.77   0.000276798       0.818963   0.000789372
         11040          5000   4.77919e+07        2017.86   0.000277767       0.821935   0.000785795
         11090          5000   4.78928e+07        2017.95   0.000278737       0.824907    0.00078225
         11140          5000   4.79937e+07        2018.04   0.000279707       0.827881   0.000778737
         11190          5000   4.80946e+07        2018.12   0.000280679       0.830857   0.000775256
         11240          5000   4.81955e+07        2018.21   0.000281651       0.833833   0.000771806
         11290          5000   4.82965e+07        2018.29   0.000282624       0.836811   0.000768386
         11340          5000   4.83974e+07        2018.37   0.000283599        0.83979   0.000764996
         11390          5000   4.84983e+07        2018.45   0.000284574       0.842771   0.000761637
         11440          5000   4.85992e+07        2018.52   0.000285551       0.845753   0.000758307
         11490          5000   4.87002e+07        2018.59   0.000286529       0.848736   0.000755006
         11540          5000   4.88011e+07        2018.66   0.000287507       0.851722   0.000751733
         11590          5000    4.8902e+07        2018.72   0.000288487       0.854709   0.000748489
         11640          5000    4.9003e+07        2018.79   0.000289468       0.857698   0.000745273
         11690          5000   4.91039e+07        2018.85    0.00029045        0.86069   0.000742085
         11740          5000   4.92048e+07         2018.9   0.000291433       0.863683   0.000738923
         11790          5000   4.93058e+07        2018.96   0.000292417       0.866679   0.000735789
         11840          5000   4.94067e+07        2019.01   0.000293402       0.869677   0.000732681
         11890          5000   4.95077e+07        2019.07   0.000294389       0.872678   0.000729599
         11940          5000   4.96086e+07        2019.12   0.000295376       0.875681   0.000726543
         11990          5000   4.97096e+07        2019.16   0.000296365       0.878688   0.000723512
         12040          5000   4.98106e+07        2019.21   0.000297355       0.881697   0.000720507
         12090          5000   4.99115e+07        2019.26   0.000298346        0.88471   0.000717527
         12140          5000   5.00125e+07         2019.3   0.000299338       0.887725   0.000714571
         12190          5000   5.01134e+07        2019.35   0.000300332       0.890745   0.000711639
         12240          5000   5.02144e+07        2019.39   0.000301327       0.893767   0.000708732
         12290          5000   5.03154e+07        2019.44   0.000302323       0.896794   0.000705848
         12340          5000   5.04164e+07        2019.48    0.00030332       0.899824   0.000702988
         12390          5000   5.05173e+07        2019.52   0.000304319       0.902859    0.00070015
         12440          5000   5.06183e+07        2019.57   0.000305319       0.905897   0.000697336
         12490          5000   5.07193e+07        2019.61    0.00030632        0.90894   0.000694544
         12540          5000   5.08203e+07        2019.66   0.000307323       0.911987   0.000691774
         12590          5000   5.09213e+07         2019.7   0.000308327       0.915039   0.000689026
         12640          5000   5.10222e+07        2019.75   0.000309332       0.918095   0.000686301
         12690          5000   5.11232e+07         2019.8   0.000310338       0.921156   0.000683596
         12740          5000   5.12242e+07        2019.85   0.000311346       0.924222   0.000680913
         12790          5000   5.13252e+07         2019.9   0.000312356       0.927293   0.000678251
         12840          5000   5.14262e+07        2019.95   0.000313366        0.93037   0.000675609
         12890          5000   5.15272e+07        2020.01   0.000314378       0.933452   0.000672988
         12940          5000   5.16282e+07        2020.07   0.000315392       0.936539   0.000670388
         12990          5000   5.17292e+07        2020.13   0.000316407       0.939632   0.000667807
         13040          5000   5.18302e+07        2020.19   0.000317423        0.94273   0.000665246
         13090          5000   5.19312e+07        2020.25   0.000318441       0.945835   0.000662705
         13140          5000   5.20323e+07        2020.32    0.00031946       0.948945   0.000660183
         13190          5000   5.21333e+07        2020.39   0.000320481       0.952061    0.00065768
         13240          5000   5.22343e+07        2020.46   0.000321503       0.955184   0.000655196
         13290          5000   5.23353e+07        2020.53   0.000322527       0.958312   0.000652731
         13340          5000   5.24363e+07        2020.61   0.000323552       0.961448   0.000650285
         13390          5000   5.25374e+07        2020.69   0.000324579       0.964589   0.000647856
         13440          5000   5.26384e+07        2020.78   0.000325607       0.967737   0.000645446
         13490          5000   5.27395e+07        2020.87   0.000326637       0.970892   0.000643053
         13540          5000   5.28405e+07        2020.96   0.000327669       0.974054   0.000640679
         13590          5000   5.29416e+07        2021.05   0.000328702       0.977222   0.000638321
         13640          5000   5.30426e+07        2021.15   0.000329736       0.980398   0.000635981
         13690          5000   5.31437e+07        2021.25   0.000330772        0.98358   0.000633658
         13740          5000   5.32447e+07        2021.36    0.00033181        0.98677   0.000631352
         13790          5000   5.33458e+07        2021.47    0.00033285       0.989967   0.000629063
         13840          5000   5.34469e+07        2021.58   0.000333891       0.993171    0.00062679
         13890          5000    5.3548e+07        2021.69   0.000334933       0.996383   0.000624534
         13940          5000   5.36491e+07        2021.82   0.000335978       0.999602   0.000622294
         13990          5000   5.37501e+07        2021.94   0.000337024        1.00283    0.00062007
         14040          5000   5.38512e+07        2022.07   0.000338072        1.00606   0.000617861
         14090          5000   5.39524e+07         2022.2   0.000339121         1.0093   0.000615669
         14140          5000   5.40535e+07        2022.33   0.000340172        1.01255   0.000613492
         14190          5000   5.41546e+07        2022.47   0.000341225        1.01581    0.00061133
         14240          5000   5.42557e+07        2022.62    0.00034228        1.01908   0.000609183
         14290          5000   5.43568e+07        2022.77   0.000343336        1.02235   0.000607052
         14340          5000    5.4458e+07        2022.92   0.000344394        1.02563   0.000604935
         14390          5000   5.45591e+07        2023.07   0.000345454        1.02892   0.000602833
         14440          5000   5.46603e+07        2023.23   0.000346516        1.03222   0.000600745
         14490          5000   5.47615e+07        2023.39   0.000347579        1.03552   0.000598672
         14540          5000   5.48626e+07        2023.56   0.000348644        1.03884   0.000596614
         14590          5000   5.49638e+07        2023.73   0.000349711        1.04216   0.000594569
         14640          5000    5.5065e+07        2023.91    0.00035078        1.04549   0.000592538
         14690          5000   5.51662e+07        2024.08   0.000351851        1.04883   0.000590521
         14740          5000   5.52674e+07        2024.27   0.000352924        1.05218   0.000588518
         14790          5000   5.53686e+07        2024.45   0.000353998        1.05553   0.000586529
         14840          5000   5.54699e+07        2024.64   0.000355075         1.0589   0.000584552
         14890          5000   5.55711e+07        2024.83   0.000356153        1.06227    0.00058259
         14940          5000   5.56723e+07        2025.03   0.000357233        1.06565    0.00058064
         14990          5000   5.57736e+07        2025.23   0.000358315        1.06904   0.000578703
           290          5500      -8240.91        1010.97   1.90975e-05      0.0279961     0.0658083
           340          5500       42375.1        1013.97    2.1051e-05      0.0309442     0.0561306
           390          5500         93188        1018.88   2.30652e-05      0.0340577     0.0489344
           440          5500        144296        1025.77    2.5077e-05      0.0372604     0.0433737
           490          5500        195795        1034.43   2.71027e-05      0.0405847     0.0389478
           540          5500        247763        1044.54   2.91351e-05      0.0440255     0.0353415
           590          5500        300266        1055.72    3.1198e-05      0.0476119     0.0323465
           640          5500        353347         1067.6   3.29939e-05      0.0508849     0.0298194
           690          5500        407031        1079.81   3.47126e-05      0.0541133     0.0276586
           740          5500        461329        1092.06    3.6432e-05      0.0574018     0.0257898
           790          5500        516234        1104.11   3.81568e-05      0.0607461     0.0241575
           840          5500        571734         1115.8   3.98915e-05      0.0641434     0.0227195
           890          5500        627807        1127.03     4.164e-05      0.0675937     0.0214432
           940          5500        684430        1137.82   4.34062e-05      0.0711009     0.0203026
           990          5500        741582        1148.25   4.51937e-05      0.0746745     0.0192772
          1040          5500        799250        1158.36   4.66585e-05      0.0777459     0.0183504
          1090          5500        857411        1168.01   4.80281e-05      0.0806696     0.0175086
          1140          5500        916045        1177.28   4.93873e-05      0.0835873     0.0167407
          1190          5500        975135        1186.26   5.07375e-05      0.0865051     0.0160373
          1240          5500   1.03467e+06        1195.02     5.208e-05      0.0894293     0.0153907
          1290          5500   1.09463e+06        1203.64   5.34159e-05      0.0923665     0.0147941
          1340          5500   1.15503e+06        1212.19   5.47463e-05      0.0953238     0.0142421
          1390          5500   1.21585e+06        1220.74   5.60722e-05      0.0983098     0.0137298
          1440          5500   1.27711e+06        1229.38   5.73944e-05       0.101335      0.013253
          1490          5500   1.33879e+06        1238.22   5.87138e-05       0.104415     0.0128083
          1540          5500   1.40093e+06        1247.37   6.00312e-05       0.107571     0.0123924
          1590          5500   1.46354e+06        1257.04   6.13472e-05        0.11083     0.0120026
          1640          5500   1.52665e+06        1267.45   6.26625e-05       0.114237     0.0116366
          1690          5500    1.5903e+06        1278.94   6.39778e-05       0.117847     0.0112921
          1740          5500   1.65457e+06        1291.96   6.52937e-05       0.121742     0.0109673
          1790          5500   1.71953e+06        1307.06    6.6611e-05       0.126025     0.0106605
          1840          5500   1.78532e+06        1324.98   6.79303e-05       0.130836     0.0103702
          1890          5500   1.85209e+06        1346.62   6.92525e-05       0.136352     0.0100949
          1940          5500   1.92006e+06        1373.07   7.05784e-05       0.142795    0.00983334
          1990          5500    1.9895e+06        1405.63   7.19089e-05       0.150438    0.00958438
          2040          5500   2.06075e+06        1445.85   7.30587e-05       0.159138     0.0093469
          2090          5500   2.13424e+06        1495.45   7.41602e-05       0.169537    0.00911984
          2140          5500   2.21049e+06         1556.4   7.52603e-05       0.182156    0.00890222
          2190          5500   2.29011e+06        1630.81   7.63608e-05       0.197451    0.00869308
          2240          5500   2.37383e+06        1720.94   7.74635e-05       0.215916    0.00849151
          2290          5500    2.4625e+06        1829.11   7.85706e-05       0.238071    0.00829662
          2340          5500   2.55708e+06        1957.58   7.96846e-05       0.264436    0.00810755
          2390          5500   2.65863e+06        2108.45   8.08081e-05       0.295503    0.00792346
          2440          5500   2.76833e+06        2283.44   8.19443e-05       0.331695    0.00774357
          2490          5500    2.8874e+06        2483.71   8.30963e-05       0.373315    0.00756713
          2540          5500   3.01713e+06        2709.55   8.42676e-05        0.42048    0.00739345
          2590          5500   3.15877e+06        2960.06   8.54614e-05       0.473047    0.00722192
          2640          5500    3.3135e+06        3232.81   8.66811e-05       0.530529    0.00705206
          2690          5500   3.48235e+06         3523.4   8.79295e-05       0.592011     0.0068835
          2740          5500   3.66603e+06        3825.14   8.92088e-05       0.656073    0.00671603
          2790          5500   3.86489e+06        4128.75   9.05203e-05       0.720739    0.00654962
          2840          5500   4.07874e+06        4422.26   9.18641e-05       0.783473    0.00638448
          2890          5500   4.30671e+06        4691.29   9.32389e-05       0.841258    0.00622101
          2940          5500   4.54719e+06        4919.79   9.46419e-05       0.890761    0.00605983
          2990          5500   4.79774e+06        5091.36   9.60684e-05       0.928639    0.00590175
          3040          5500   5.05513e+06        5191.24   9.75125e-05       0.951939     0.0057477
          3090          5500   5.31549e+06        5208.65   9.89672e-05       0.958566    0.00559868
          3140          5500   5.57454e+06        5139.07   0.000100425       0.947716    0.00545567
          3190          5500   5.82799e+06         4985.8   0.000101878       0.920147    0.00531948
          3240          5500   6.07191e+06        4760.18   0.000103319       0.878177    0.00519074
          3290          5500    6.3031e+06        4480.01   0.000104745       0.825361    0.00506978
          3340          5500   6.51936e+06        4166.82   0.000106149       0.765937    0.00495666
          3390          5500    6.7196e+06        3842.36   0.000107532       0.704163    0.00485115
          3440          5500   6.90373e+06        3525.71   0.000108892       0.643765    0.00475282
          3490          5500   7.07254e+06        3231.39    0.00011023       0.587591     0.0046611
          3540          5500    7.2274e+06        2968.79   0.000111548       0.537506    0.00457532
          3590          5500   7.37003e+06        2742.69   0.000112848       0.494493    0.00449483
          3640          5500    7.5023e+06        2554.28   0.000114133       0.458845    0.00441898
          3690          5500   7.62607e+06        2402.37   0.000115405       0.430394    0.00434719
          3740          5500    7.7431e+06         2284.4   0.000116667       0.408709    0.00427892
          3790          5500   7.85502e+06        2197.29    0.00011792        0.39325    0.00421373
          3840          5500   7.96329e+06        2137.93   0.000119167       0.383469    0.00415121
          3890          5500   8.06923e+06        2103.51   0.000120409       0.378875    0.00409104
          3940          5500   8.17402e+06        2091.67   0.000121647       0.379063    0.00403292
          3990          5500   8.27874e+06        2100.56   0.000122883       0.383726    0.00397661
          4040          5500    8.3844e+06         2128.8   0.000123973       0.392437    0.00392187
          4090          5500   8.49193e+06        2175.48   0.000125023       0.405164    0.00386854
          4140          5500   8.60225e+06         2240.1   0.000126069       0.421917    0.00381643
          4190          5500   8.71624e+06        2322.49   0.000127112       0.442731     0.0037654
          4240          5500   8.83479e+06        2422.79   0.000128151       0.467703     0.0037153
          4290          5500   8.95882e+06        2541.36   0.000129188       0.496979      0.003666
          4340          5500   9.08925e+06         2678.8   0.000130224       0.530751     0.0036174
          4390          5500   9.22703e+06        2835.87   0.000131258       0.569248    0.00356936
          4440          5500   9.37317e+06        3013.48    0.00013229       0.612723    0.00352179
          4490          5500   9.52873e+06        3212.62   0.000133323       0.661454    0.00347459
          4540          5500   9.69481e+06         3434.4   0.000134355       0.715732    0.00342764
          4590          5500   9.87257e+06        3679.99   0.000135387       0.775855    0.00338086
          4640          5500   1.00632e+07        3950.58   0.000136421       0.842119    0.00333415
          4690          5500   1.02681e+07        4247.37   0.000137455        0.91481    0.00328743
          4740          5500   1.04884e+07        4571.55   0.000138492       0.994195    0.00324061
          4790          5500   1.07257e+07        4924.25   0.000139531        1.08051    0.00319361
          4840          5500   1.09813e+07        5306.52   0.000140574        1.17396    0.00314637
          4890          5500   1.12569e+07        5719.27    0.00014162        1.27468     0.0030988
          4940          5500   1.15538e+07        6163.23   0.000142672        1.38273    0.00305086
          4990          5500   1.18737e+07         6638.9   0.000143729        1.49812    0.00300249
          5040          5500   1.22182e+07        7146.47   0.000144753         1.6202    0.00295364
          5090          5500   1.25889e+07        7685.74   0.000145775        1.74904    0.00290429
          5140          5500   1.29873e+07        8256.08   0.000146805        1.88437    0.00285442
          5190          5500    1.3415e+07        8856.25   0.000147846        2.02565    0.00280401
          5240          5500   1.38734e+07        9484.36   0.000148899        2.17214    0.00275308
          5290          5500   1.43638e+07        10137.8   0.000149965         2.3229    0.00270166
          5340          5500   1.48875e+07        10812.8   0.000151047        2.47678    0.00264977
          5390          5500   1.54454e+07          11505   0.000152145         2.6324    0.00259749
          5440          5500   1.60382e+07        12208.4   0.000153261        2.78811    0.00254489
          5490          5500   1.66663e+07        12916.1   0.000154398        2.94206    0.00249205
          5540          5500   1.73298e+07        13619.9   0.000155556        3.09213    0.00243911
          5590          5500   1.80281e+07        14310.1   0.000156737        3.23602    0.00238618
          5640          5500   1.87604e+07        14975.8   0.000157942        3.37124    0.00233341
          5690          5500   1.95251e+07          15605   0.000159173         3.4952    0.00228096
          5740          5500     2.032e+07        16184.9   0.000160429        3.60526    0.00222902
          5790          5500   2.11425e+07        16702.1   0.000161711        3.69885    0.00217774
          5840          5500    2.1989e+07        17143.2   0.000163018        3.77355    0.00212732
          5890          5500   2.28553e+07        17495.3    0.00016435        3.82723    0.00207794
          5940          5500   2.37368e+07        17746.7   0.000165705        3.85817    0.00202979
          5990          5500   2.46282e+07          17888   0.000167082        3.86518    0.00198301
          6040          5500   2.55237e+07          17912    0.00016842        3.84562    0.00193778
          6090          5500   2.64174e+07          17815   0.000169756        3.80121    0.00189421
          6140          5500   2.73032e+07        17597.1   0.000171101        3.73336    0.00185243
          6190          5500   2.81751e+07        17262.2   0.000172452        3.64367    0.00181252
          6240          5500   2.90276e+07        16817.9   0.000173806        3.53434    0.00177454
          6290          5500   2.98553e+07        16275.4   0.000175159        3.40813    0.00173851
          6340          5500   3.06537e+07        15648.7   0.000176508        3.26815    0.00170444
          6390          5500    3.1419e+07        14953.7   0.000177851        3.11775    0.00167232
          6440          5500   3.21482e+07        14207.6   0.000179185        2.96029    0.00164208
          6490          5500   3.28392e+07        13427.7   0.000180509        2.79905    0.00161368
          6540          5500   3.34907e+07        12630.5    0.00018182        2.63706    0.00158702
          6590          5500   3.41022e+07        11831.3   0.000183118        2.47698    0.00156202
          6640          5500    3.4674e+07        11043.4   0.000184402        2.32111    0.00153858
          6690          5500   3.52069e+07        10278.1   0.000185672        2.17127     0.0015166
          6740          5500   3.57023e+07        9544.29   0.000186927        2.02887    0.00149595
          6790          5500    3.6162e+07         8848.5   0.000188169        1.89488    0.00147655
          6840          5500   3.65879e+07        8195.31   0.000189397        1.76994    0.00145829
          6890          5500   3.69823e+07        7587.39   0.000190612        1.65434    0.00144106
          6940          5500   3.73474e+07        7025.86   0.000191816        1.54811    0.00142478
          6990          5500   3.76856e+07        6510.55   0.000193009        1.45109    0.00140936
          7040          5500   3.79992e+07        6040.34   0.000194191        1.36295    0.00139472
          7090          5500   3.82904e+07        5613.35   0.000195365        1.28326    0.00138078
          7140          5500   3.85612e+07        5227.22    0.00019653         1.2115    0.00136749
          7190          5500   3.88138e+07        4879.27   0.000197688        1.14712    0.00135477
          7240          5500   3.90498e+07        4566.66    0.00019884        1.08955    0.00134257
          7290          5500    3.9271e+07         4286.5   0.000199986        1.03822    0.00133085
          7340          5500   3.94789e+07        4035.93   0.000201127       0.992585    0.00131957
          7390          5500    3.9675e+07        3812.23   0.000202263       0.952108    0.00130867
          7440          5500   3.98605e+07        3612.78   0.000203396       0.916294    0.00129814
          7490          5500   4.00366e+07        3435.14   0.000204527       0.884679    0.00128793
          7540          5500   4.02044e+07        3277.08   0.000205654       0.856836    0.00127802
          7590          5500   4.03646e+07        3136.52    0.00020678       0.832373    0.00126839
          7640          5500   4.05183e+07        3011.58   0.000207904       0.810935    0.00125901
          7690          5500    4.0666e+07        2900.58   0.000209027         0.7922    0.00124986
          7740          5500   4.08085e+07        2801.96   0.000210149       0.775876    0.00124094
          7790          5500   4.09464e+07        2714.37   0.000211271       0.761704    0.00123221
          7840          5500   4.10801e+07        2636.56   0.000212392       0.749451    0.00122368
          7890          5500   4.12102e+07        2567.45   0.000213514       0.738905    0.00121532
          7940          5500    4.1337e+07        2506.04   0.000214636       0.729883    0.00120713
          7990          5500   4.14609e+07        2451.49   0.000215758       0.722217     0.0011991
          8040          5500   4.15823e+07           2403   0.000216806       0.715499    0.00119121
          8090          5500   4.17013e+07         2359.9   0.000217835       0.709794    0.00118346
          8140          5500   4.18183e+07        2321.59   0.000218864        0.70505    0.00117585
          8190          5500   4.19335e+07        2287.51   0.000219893       0.701163    0.00116836
          8240          5500   4.20472e+07        2257.21   0.000220921       0.698038    0.00116099
          8290          5500   4.21593e+07        2230.24    0.00022195       0.695593    0.00115374
          8340          5500   4.22702e+07        2206.25    0.00022298       0.693754    0.00114659
          8390          5500     4.238e+07         2184.9   0.000224009       0.692457    0.00113956
          8440          5500   4.24888e+07         2165.9    0.00022504       0.691643    0.00113262
          8490          5500   4.25966e+07        2148.99   0.000226071       0.691261    0.00112579
          8540          5500   4.27037e+07        2133.93   0.000227102       0.691264    0.00111905
          8590          5500     4.281e+07        2120.53   0.000228135       0.691612     0.0011124
          8640          5500   4.29158e+07         2108.6   0.000229168       0.692269    0.00110584
          8690          5500   4.30209e+07        2097.98   0.000230202       0.693201    0.00109937
