   time (s)      Tw (K)       T2 (K)       T3 (K)       T4 (K)       T5 (K)       T6 (K)       T7 (K)       T8 (K)       T9(K)
 0.29000E+01  0.14158E+04  0.11765E+04  0.82420E+03  0.44677E+03  0.30298E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.30000E+01  0.14194E+04  0.11899E+04  0.83700E+03  0.45520E+03  0.30353E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.31000E+01  0.14227E+04  0.12030E+04  0.84958E+03  0.46357E+03  0.30414E+03  0.30002E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.32000E+01  0.14260E+04  0.12159E+04  0.86180E+03  0.47190E+03  0.30481E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.33000E+01  0.14290E+04  0.12285E+04  0.87374E+03  0.48017E+03  0.30553E+03  0.30004E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.34000E+01  0.14320E+04  0.12410E+04  0.88549E+03  0.48851E+03  0.30632E+03  0.30005E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.35000E+01  0.14348E+04  0.12532E+04  0.89701E+03  0.49679E+03  0.30716E+03  0.30006E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.36000E+01  0.14375E+04  0.12653E+04  0.90831E+03  0.50502E+03  0.30806E+03  0.30007E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.37000E+01  0.14401E+04  0.12772E+04  0.91943E+03  0.51316E+03  0.30901E+03  0.30009E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.38000E+01  0.14426E+04  0.12889E+04  0.93039E+03  0.52124E+03  0.31002E+03  0.30011E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.39000E+01  0.14450E+04  0.13005E+04  0.94116E+03  0.52922E+03  0.31109E+03  0.30014E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.40000E+01  0.14473E+04  0.13120E+04  0.95181E+03  0.53710E+03  0.31224E+03  0.30017E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.41000E+01  0.14495E+04  0.13233E+04  0.96232E+03  0.54497E+03  0.31346E+03  0.30020E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.42000E+01  0.14517E+04  0.13345E+04  0.97272E+03  0.55280E+03  0.31474E+03  0.30024E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.43000E+01  0.14538E+04  0.13456E+04  0.98296E+03  0.56051E+03  0.31606E+03  0.30029E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.44000E+01  0.14558E+04  0.13566E+04  0.99307E+03  0.56819E+03  0.31745E+03  0.30034E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.45000E+01  0.14577E+04  0.13675E+04  0.10031E+04  0.57576E+03  0.31888E+03  0.30039E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.46000E+01  0.14595E+04  0.13783E+04  0.10129E+04  0.58328E+03  0.32037E+03  0.30046E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.47000E+01  0.14614E+04  0.13890E+04  0.10227E+04  0.59075E+03  0.32191E+03  0.30053E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.48000E+01  0.14631E+04  0.13996E+04  0.10323E+04  0.59823E+03  0.32349E+03  0.30061E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.49000E+01  0.14648E+04  0.14102E+04  0.10419E+04  0.60563E+03  0.32512E+03  0.30069E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.50000E+01  0.14665E+04  0.14206E+04  0.10513E+04  0.61296E+03  0.32679E+03  0.30079E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.51000E+01  0.14681E+04  0.14310E+04  0.10607E+04  0.62021E+03  0.32851E+03  0.30089E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.52000E+01  0.14696E+04  0.14413E+04  0.10700E+04  0.62738E+03  0.33027E+03  0.30100E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.53000E+01  0.14711E+04  0.14516E+04  0.10791E+04  0.63447E+03  0.33207E+03  0.30113E+03  0.30001E+03  0.30000E+03  0.30000E+03
 0.54000E+01  0.14726E+04  0.14618E+04  0.10882E+04  0.64160E+03  0.33390E+03  0.30126E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.55000E+01  0.14740E+04  0.14719E+04  0.10971E+04  0.64863E+03  0.33578E+03  0.30140E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.56000E+01  0.14754E+04  0.00000E+00  0.11060E+04  0.65562E+03  0.33773E+03  0.30155E+03  0.30002E+03  0.30000E+03  0.30000E+03
 0.57000E+01  0.14768E+04  0.00000E+00  0.11149E+04  0.66252E+03  0.33974E+03  0.30171E+03  0.30003E+03  0.30000E+03  0.30000E+03
 0.58000E+01  0.14781E+04  0.00000E+00  0.11236E+04  0.66936E+03  0.34178E+03  0.30188E+03  0.30003E+03  0.30000E+03  0.30000E+03
 0.59000E+01  0.14794E+04  0.00000E+00  0.11323E+04  0.67613E+03  0.34386E+03  0.30206E+03  0.30004E+03  0.30000E+03  0.30000E+03
 0.60000E+01  0.14806E+04  0.00000E+00  0.11409E+04  0.68295E+03  0.34596E+03  0.30226E+03  0.30005E+03  0.30000E+03  0.30000E+03
 0.61000E+01  0.14818E+04  0.00000E+00  0.11494E+04  0.68969E+03  0.34810E+03  0.30246E+03  0.30005E+03  0.30000E+03  0.30000E+03
 0.62000E+01  0.14830E+04  0.00000E+00  0.11579E+04  0.69637E+03  0.35026E+03  0.30268E+03  0.30006E+03  0.30000E+03  0.30000E+03
 0.63000E+01  0.14842E+04  0.00000E+00  0.11663E+04  0.70298E+03  0.35245E+03  0.30290E+03  0.30007E+03  0.30000E+03  0.30000E+03
 0.64000E+01  0.14853E+04  0.00000E+00  0.11747E+04  0.70953E+03  0.35467E+03  0.30314E+03  0.30008E+03  0.30000E+03  0.30000E+03
 0.65000E+01  0.14864E+04  0.00000E+00  0.11830E+04  0.71602E+03  0.35692E+03  0.30339E+03  0.30009E+03  0.30000E+03  0.30000E+03
 0.66000E+01  0.14875E+04  0.00000E+00  0.11913E+04  0.72252E+03  0.35918E+03  0.30366E+03  0.30010E+03  0.30000E+03  0.30000E+03
 0.67000E+01  0.14885E+04  0.00000E+00  0.11995E+04  0.72894E+03  0.36147E+03  0.30393E+03  0.30012E+03  0.30000E+03  0.30000E+03
 0.68000E+01  0.14896E+04  0.00000E+00  0.12077E+04  0.73530E+03  0.36378E+03  0.30422E+03  0.30013E+03  0.30000E+03  0.30000E+03
 0.69000E+01  0.14906E+04  0.00000E+00  0.12158E+04  0.74159E+03  0.36611E+03  0.30452E+03  0.30014E+03  0.30000E+03  0.30000E+03
 0.70000E+01  0.14915E+04  0.00000E+00  0.12240E+04  0.74781E+03  0.36846E+03  0.30485E+03  0.30016E+03  0.30000E+03  0.30000E+03
 0.71000E+01  0.14925E+04  0.00000E+00  0.12321E+04  0.75402E+03  0.37088E+03  0.30519E+03  0.30018E+03  0.30000E+03  0.30000E+03
 0.72000E+01  0.14929E+04  0.00000E+00  0.12398E+04  0.76019E+03  0.37335E+03  0.30555E+03  0.30020E+03  0.30000E+03  0.30000E+03
 0.73000E+01  0.14935E+04  0.00000E+00  0.12477E+04  0.76628E+03  0.37582E+03  0.30591E+03  0.30022E+03  0.30000E+03  0.30000E+03
 0.74000E+01  0.14943E+04  0.00000E+00  0.12555E+04  0.77231E+03  0.37832E+03  0.30629E+03  0.30025E+03  0.30000E+03  0.30000E+03
 0.75000E+01  0.14951E+04  0.00000E+00  0.12634E+04  0.77826E+03  0.38082E+03  0.30669E+03  0.30027E+03  0.30000E+03  0.30000E+03
 0.76000E+01  0.14959E+04  0.00000E+00  0.12713E+04  0.78417E+03  0.38335E+03  0.30710E+03  0.30030E+03  0.30000E+03  0.30000E+03
 0.77000E+01  0.14967E+04  0.00000E+00  0.12792E+04  0.79006E+03  0.38588E+03  0.30752E+03  0.30033E+03  0.30000E+03  0.30000E+03
 0.78000E+01  0.14975E+04  0.00000E+00  0.12871E+04  0.79589E+03  0.38843E+03  0.30795E+03  0.30036E+03  0.30000E+03  0.30000E+03
 0.79000E+01  0.14983E+04  0.00000E+00  0.12951E+04  0.80165E+03  0.39099E+03  0.30840E+03  0.30039E+03  0.30000E+03  0.30000E+03
 0.80000E+01  0.14990E+04  0.00000E+00  0.13030E+04  0.80737E+03  0.39356E+03  0.30886E+03  0.30043E+03  0.30000E+03  0.30000E+03
 0.81000E+01  0.14998E+04  0.00000E+00  0.13110E+04  0.81307E+03  0.39613E+03  0.30934E+03  0.30047E+03  0.30000E+03  0.30000E+03
 0.82000E+01  0.15006E+04  0.00000E+00  0.13189E+04  0.81872E+03  0.39872E+03  0.30983E+03  0.30050E+03  0.30000E+03  0.30000E+03
 0.83000E+01  0.15013E+04  0.00000E+00  0.13269E+04  0.82435E+03  0.40131E+03  0.31033E+03  0.30055E+03  0.30000E+03  0.30000E+03
 0.84000E+01  0.15021E+04  0.00000E+00  0.13348E+04  0.82994E+03  0.40391E+03  0.31084E+03  0.30059E+03  0.30000E+03  0.30000E+03
 0.85000E+01  0.15028E+04  0.00000E+00  0.13428E+04  0.83546E+03  0.40657E+03  0.31137E+03  0.30064E+03  0.30000E+03  0.30000E+03
 0.86000E+01  0.15035E+04  0.00000E+00  0.13508E+04  0.84099E+03  0.40927E+03  0.31191E+03  0.30069E+03  0.30000E+03  0.30000E+03
 0.87000E+01  0.15042E+04  0.00000E+00  0.13588E+04  0.84653E+03  0.41196E+03  0.31246E+03  0.30074E+03  0.30000E+03  0.30000E+03
 0.88000E+01  0.15049E+04  0.00000E+00  0.13667E+04  0.85204E+03  0.41465E+03  0.31303E+03  0.30080E+03  0.30000E+03  0.30000E+03
 0.89000E+01  0.15055E+04  0.00000E+00  0.13747E+04  0.85749E+03  0.41736E+03  0.31361E+03  0.30086E+03  0.30000E+03  0.30000E+03
 0.90000E+01  0.15062E+04  0.00000E+00  0.13827E+04  0.86291E+03  0.42008E+03  0.31420E+03  0.30092E+03  0.30000E+03  0.30000E+03
 0.91000E+01  0.15069E+04  0.00000E+00  0.13907E+04  0.86838E+03  0.42279E+03  0.31480E+03  0.30098E+03  0.30000E+03  0.30000E+03
 0.92000E+01  0.15075E+04  0.00000E+00  0.13987E+04  0.87385E+03  0.42550E+03  0.31542E+03  0.30105E+03  0.30000E+03  0.30000E+03
 0.93000E+01  0.15081E+04  0.00000E+00  0.14067E+04  0.87925E+03  0.42823E+03  0.31605E+03  0.30112E+03  0.30000E+03  0.30000E+03
 0.94000E+01  0.15088E+04  0.00000E+00  0.14147E+04  0.88462E+03  0.43092E+03  0.31670E+03  0.30119E+03  0.30000E+03  0.30000E+03
 0.95000E+01  0.15094E+04  0.00000E+00  0.14227E+04  0.89004E+03  0.43363E+03  0.31738E+03  0.30127E+03  0.30000E+03  0.30000E+03
 0.96000E+01  0.15100E+04  0.00000E+00  0.14307E+04  0.89548E+03  0.43637E+03  0.31807E+03  0.30135E+03  0.30000E+03  0.30000E+03
 0.97000E+01  0.15105E+04  0.00000E+00  0.14387E+04  0.90089E+03  0.43911E+03  0.31878E+03  0.30143E+03  0.30000E+03  0.30000E+03
 0.98000E+01  0.15111E+04  0.00000E+00  0.14467E+04  0.90628E+03  0.44181E+03  0.31950E+03  0.30151E+03  0.30000E+03  0.30000E+03
 0.99000E+01  0.15117E+04  0.00000E+00  0.14547E+04  0.91164E+03  0.44462E+03  0.32023E+03  0.30161E+03  0.30000E+03  0.30000E+03
 0.10000E+02  0.15123E+04  0.00000E+00  0.14627E+04  0.91709E+03  0.44744E+03  0.32097E+03  0.30170E+03  0.30000E+03  0.30000E+03
 0.10100E+02  0.15128E+04  0.00000E+00  0.14708E+04  0.92251E+03  0.45027E+03  0.32173E+03  0.30181E+03  0.30000E+03  0.30000E+03
 0.10200E+02  0.15134E+04  0.00000E+00  0.14788E+04  0.92789E+03  0.45304E+03  0.32249E+03  0.30191E+03  0.30000E+03  0.30000E+03
 0.10300E+02  0.15139E+04  0.00000E+00  0.14869E+04  0.93327E+03  0.45585E+03  0.32327E+03  0.30202E+03  0.30000E+03  0.30000E+03
 0.10400E+02  0.15144E+04  0.00000E+00  0.14950E+04  0.93874E+03  0.45867E+03  0.32406E+03  0.30213E+03  0.30000E+03  0.30000E+03
 0.10500E+02  0.15149E+04  0.00000E+00  0.15031E+04  0.94415E+03  0.46150E+03  0.32486E+03  0.30225E+03  0.30000E+03  0.30000E+03
 0.10600E+02  0.15155E+04  0.00000E+00  0.15112E+04  0.94955E+03  0.46433E+03  0.32567E+03  0.30237E+03  0.30000E+03  0.30000E+03
 0.10700E+02  0.15160E+04  0.00000E+00  0.00000E+00  0.95498E+03  0.46713E+03  0.32649E+03  0.30250E+03  0.30000E+03  0.30000E+03
 0.10800E+02  0.15165E+04  0.00000E+00  0.00000E+00  0.96043E+03  0.46994E+03  0.32732E+03  0.30263E+03  0.30000E+03  0.30000E+03
 0.10900E+02  0.15170E+04  0.00000E+00  0.00000E+00  0.96590E+03  0.47276E+03  0.32816E+03  0.30276E+03  0.30001E+03  0.30000E+03
 0.11000E+02  0.15174E+04  0.00000E+00  0.00000E+00  0.97133E+03  0.47556E+03  0.32901E+03  0.30290E+03  0.30001E+03  0.30000E+03
 0.11100E+02  0.15179E+04  0.00000E+00  0.00000E+00  0.97675E+03  0.47841E+03  0.32988E+03  0.30304E+03  0.30001E+03  0.30000E+03
 0.11200E+02  0.15184E+04  0.00000E+00  0.00000E+00  0.98223E+03  0.48130E+03  0.33075E+03  0.30319E+03  0.30001E+03  0.30000E+03
 0.11300E+02  0.15188E+04  0.00000E+00  0.00000E+00  0.98772E+03  0.48419E+03  0.33163E+03  0.30334E+03  0.30001E+03  0.30000E+03
 0.11400E+02  0.15193E+04  0.00000E+00  0.00000E+00  0.99315E+03  0.48707E+03  0.33252E+03  0.30350E+03  0.30001E+03  0.30000E+03
 0.11500E+02  0.15198E+04  0.00000E+00  0.00000E+00  0.99861E+03  0.48995E+03  0.33342E+03  0.30365E+03  0.30001E+03  0.30000E+03
 0.11600E+02  0.15202E+04  0.00000E+00  0.00000E+00  0.10041E+04  0.49283E+03  0.33433E+03  0.30382E+03  0.30001E+03  0.30000E+03
 0.11700E+02  0.15206E+04  0.00000E+00  0.00000E+00  0.10096E+04  0.49570E+03  0.33526E+03  0.30399E+03  0.30001E+03  0.30000E+03
 0.11800E+02  0.15211E+04  0.00000E+00  0.00000E+00  0.10150E+04  0.49857E+03  0.33623E+03  0.30416E+03  0.30001E+03  0.30000E+03
 0.11900E+02  0.15215E+04  0.00000E+00  0.00000E+00  0.10205E+04  0.50144E+03  0.33720E+03  0.30434E+03  0.30001E+03  0.30000E+03
 0.12000E+02  0.15219E+04  0.00000E+00  0.00000E+00  0.10260E+04  0.50430E+03  0.33819E+03  0.30452E+03  0.30001E+03  0.30000E+03
 0.12100E+02  0.15223E+04  0.00000E+00  0.00000E+00  0.10314E+04  0.50715E+03  0.33919E+03  0.30470E+03  0.30002E+03  0.30000E+03
 0.12200E+02  0.15227E+04  0.00000E+00  0.00000E+00  0.10369E+04  0.51001E+03  0.34019E+03  0.30489E+03  0.30002E+03  0.30000E+03
 0.12300E+02  0.15231E+04  0.00000E+00  0.00000E+00  0.10424E+04  0.51289E+03  0.34120E+03  0.30509E+03  0.30002E+03  0.30000E+03
 0.12400E+02  0.15235E+04  0.00000E+00  0.00000E+00  0.10479E+04  0.51580E+03  0.34223E+03  0.30529E+03  0.30002E+03  0.30000E+03
 0.12500E+02  0.15239E+04  0.00000E+00  0.00000E+00  0.10533E+04  0.51872E+03  0.34325E+03  0.30549E+03  0.30002E+03  0.30000E+03
 0.12600E+02  0.15243E+04  0.00000E+00  0.00000E+00  0.10588E+04  0.52162E+03  0.34429E+03  0.30570E+03  0.30002E+03  0.30000E+03
 0.12700E+02  0.15247E+04  0.00000E+00  0.00000E+00  0.10643E+04  0.52452E+03  0.34534E+03  0.30591E+03  0.30003E+03  0.30000E+03
 0.12800E+02  0.15251E+04  0.00000E+00  0.00000E+00  0.10698E+04  0.52743E+03  0.34639E+03  0.30613E+03  0.30003E+03  0.30000E+03
 0.12900E+02  0.15255E+04  0.00000E+00  0.00000E+00  0.10753E+04  0.53031E+03  0.34745E+03  0.30635E+03  0.30003E+03  0.30000E+03
 0.13000E+02  0.15258E+04  0.00000E+00  0.00000E+00  0.10808E+04  0.53318E+03  0.34852E+03  0.30657E+03  0.30003E+03  0.30000E+03
 0.13100E+02  0.15262E+04  0.00000E+00  0.00000E+00  0.10862E+04  0.53606E+03  0.34960E+03  0.30681E+03  0.30004E+03  0.30000E+03
 0.13200E+02  0.15265E+04  0.00000E+00  0.00000E+00  0.10917E+04  0.53893E+03  0.35068E+03  0.30704E+03  0.30004E+03  0.30000E+03
 0.13300E+02  0.15269E+04  0.00000E+00  0.00000E+00  0.10972E+04  0.54177E+03  0.35177E+03  0.30728E+03  0.30004E+03  0.30000E+03
 0.13400E+02  0.15273E+04  0.00000E+00  0.00000E+00  0.11027E+04  0.54461E+03  0.35286E+03  0.30752E+03  0.30004E+03  0.30000E+03
 0.13500E+02  0.15276E+04  0.00000E+00  0.00000E+00  0.11082E+04  0.54752E+03  0.35396E+03  0.30779E+03  0.30005E+03  0.30000E+03
 0.13600E+02  0.15280E+04  0.00000E+00  0.00000E+00  0.11136E+04  0.55043E+03  0.35507E+03  0.30805E+03  0.30005E+03  0.30000E+03
 0.13700E+02  0.15283E+04  0.00000E+00  0.00000E+00  0.11191E+04  0.55334E+03  0.35619E+03  0.30833E+03  0.30005E+03  0.30000E+03
 0.13800E+02  0.15286E+04  0.00000E+00  0.00000E+00  0.11246E+04  0.55625E+03  0.35731E+03  0.30860E+03  0.30006E+03  0.30000E+03
 0.13900E+02  0.15292E+04  0.00000E+00  0.00000E+00  0.11301E+04  0.55914E+03  0.35845E+03  0.30888E+03  0.30006E+03  0.30000E+03
 0.14000E+02  0.15294E+04  0.00000E+00  0.00000E+00  0.11356E+04  0.56204E+03  0.35963E+03  0.30917E+03  0.30006E+03  0.30000E+03
 0.14100E+02  0.15297E+04  0.00000E+00  0.00000E+00  0.11411E+04  0.56491E+03  0.36082E+03  0.30946E+03  0.30007E+03  0.30000E+03
 0.14200E+02  0.15300E+04  0.00000E+00  0.00000E+00  0.11466E+04  0.56778E+03  0.36202E+03  0.30976E+03  0.30007E+03  0.30000E+03
 0.14300E+02  0.15303E+04  0.00000E+00  0.00000E+00  0.11521E+04  0.57066E+03  0.36321E+03  0.31006E+03  0.30008E+03  0.30000E+03
 0.14400E+02  0.15306E+04  0.00000E+00  0.00000E+00  0.11576E+04  0.57353E+03  0.36442E+03  0.31036E+03  0.30008E+03  0.30000E+03
 0.14500E+02  0.15309E+04  0.00000E+00  0.00000E+00  0.11631E+04  0.57640E+03  0.36563E+03  0.31067E+03  0.30009E+03  0.30000E+03
 0.14600E+02  0.15312E+04  0.00000E+00  0.00000E+00  0.11686E+04  0.57932E+03  0.36685E+03  0.31099E+03  0.30009E+03  0.30000E+03
 0.14700E+02  0.15315E+04  0.00000E+00  0.00000E+00  0.11742E+04  0.58225E+03  0.36807E+03  0.31131E+03  0.30010E+03  0.30000E+03
 0.14800E+02  0.15318E+04  0.00000E+00  0.00000E+00  0.11797E+04  0.58518E+03  0.36930E+03  0.31163E+03  0.30011E+03  0.30000E+03
 0.14900E+02  0.15321E+04  0.00000E+00  0.00000E+00  0.11853E+04  0.58811E+03  0.37053E+03  0.31196E+03  0.30011E+03  0.30000E+03
 0.15000E+02  0.15324E+04  0.00000E+00  0.00000E+00  0.11908E+04  0.59103E+03  0.37177E+03  0.31230E+03  0.30012E+03  0.30000E+03
 0.15100E+02  0.15327E+04  0.00000E+00  0.00000E+00  0.11963E+04  0.59394E+03  0.37301E+03  0.31263E+03  0.30012E+03  0.30000E+03
 0.15200E+02  0.15330E+04  0.00000E+00  0.00000E+00  0.12019E+04  0.59686E+03  0.37426E+03  0.31298E+03  0.30013E+03  0.30000E+03
 0.15300E+02  0.15333E+04  0.00000E+00  0.00000E+00  0.12075E+04  0.59975E+03  0.37551E+03  0.31332E+03  0.30014E+03  0.30000E+03
 0.15400E+02  0.15335E+04  0.00000E+00  0.00000E+00  0.12131E+04  0.60265E+03  0.37677E+03  0.31368E+03  0.30015E+03  0.30000E+03
 0.15500E+02  0.15338E+04  0.00000E+00  0.00000E+00  0.12188E+04  0.60554E+03  0.37803E+03  0.31403E+03  0.30015E+03  0.30000E+03
 0.15600E+02  0.15341E+04  0.00000E+00  0.00000E+00  0.12244E+04  0.60846E+03  0.37929E+03  0.31439E+03  0.30016E+03  0.30000E+03
 0.15700E+02  0.15343E+04  0.00000E+00  0.00000E+00  0.12300E+04  0.61141E+03  0.38056E+03  0.31476E+03  0.30017E+03  0.30000E+03
 0.15800E+02  0.15346E+04  0.00000E+00  0.00000E+00  0.12357E+04  0.61434E+03  0.38184E+03  0.31513E+03  0.30018E+03  0.30000E+03
 0.15900E+02  0.15349E+04  0.00000E+00  0.00000E+00  0.12414E+04  0.61727E+03  0.38312E+03  0.31550E+03  0.30019E+03  0.30000E+03
 0.16000E+02  0.15351E+04  0.00000E+00  0.00000E+00  0.12471E+04  0.62020E+03  0.38443E+03  0.31588E+03  0.30020E+03  0.30000E+03
 0.16100E+02  0.15354E+04  0.00000E+00  0.00000E+00  0.12528E+04  0.62312E+03  0.38577E+03  0.31627E+03  0.30021E+03  0.30000E+03
 0.16200E+02  0.15357E+04  0.00000E+00  0.00000E+00  0.12586E+04  0.62603E+03  0.38711E+03  0.31665E+03  0.30022E+03  0.30000E+03
 0.16300E+02  0.15359E+04  0.00000E+00  0.00000E+00  0.12644E+04  0.62893E+03  0.38845E+03  0.31705E+03  0.30023E+03  0.30000E+03
 0.16400E+02  0.15362E+04  0.00000E+00  0.00000E+00  0.12701E+04  0.63182E+03  0.38980E+03  0.31744E+03  0.30024E+03  0.30000E+03
 0.16500E+02  0.15364E+04  0.00000E+00  0.00000E+00  0.12760E+04  0.63471E+03  0.39116E+03  0.31784E+03  0.30025E+03  0.30000E+03
 0.16600E+02  0.15367E+04  0.00000E+00  0.00000E+00  0.12818E+04  0.63762E+03  0.39251E+03  0.31825E+03  0.30026E+03  0.30000E+03
 0.16700E+02  0.15369E+04  0.00000E+00  0.00000E+00  0.12877E+04  0.64056E+03  0.39387E+03  0.31866E+03  0.30027E+03  0.30000E+03
 0.16800E+02  0.15371E+04  0.00000E+00  0.00000E+00  0.12936E+04  0.64350E+03  0.39524E+03  0.31909E+03  0.30029E+03  0.30000E+03
 0.16900E+02  0.15374E+04  0.00000E+00  0.00000E+00  0.12995E+04  0.64643E+03  0.39660E+03  0.31953E+03  0.30030E+03  0.30000E+03
 0.17000E+02  0.15376E+04  0.00000E+00  0.00000E+00  0.13054E+04  0.64935E+03  0.39797E+03  0.31998E+03  0.30031E+03  0.30000E+03
