   time (s)      Tw (K)       T2 (K)       T3 (K)       T4 (K)       T5 (K)       T6 (K)       T7 (K)       T8 (K)       T9(K)
 0.00000E+00  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.10000E+00  0.95382E+03  0.31756E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.20000E+00  0.10632E+04  0.39051E+03  0.30214E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.30000E+00  0.11196E+04  0.46988E+03  0.31183E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.40000E+00  0.11584E+04  0.53947E+03  0.32959E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.50000E+00  0.11885E+04  0.59847E+03  0.35256E+03  0.30020E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.60000E+00  0.12132E+04  0.64967E+03  0.37833E+03  0.30069E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.70000E+00  0.12344E+04  0.69489E+03  0.40502E+03  0.30168E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.80000E+00  0.12527E+04  0.73548E+03  0.43163E+03  0.30332E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.90000E+00  0.12690E+04  0.77214E+03  0.45765E+03  0.30570E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.10000E+01  0.12835E+04  0.80549E+03  0.48318E+03  0.30885E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.11000E+01  0.12965E+04  0.83601E+03  0.50786E+03  0.31279E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.12000E+01  0.13083E+04  0.86421E+03  0.53149E+03  0.31743E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.13000E+01  0.13191E+04  0.89039E+03  0.55402E+03  0.32271E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.14000E+01  0.13289E+04  0.91496E+03  0.57573E+03  0.32855E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.15000E+01  0.13380E+04  0.93808E+03  0.59665E+03  0.33488E+03  0.30003E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.16000E+01  0.13463E+04  0.96000E+03  0.61677E+03  0.34162E+03  0.30005E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.17000E+01  0.13540E+04  0.98087E+03  0.63610E+03  0.34872E+03  0.30008E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.18000E+01  0.13611E+04  0.10008E+04  0.65483E+03  0.35611E+03  0.30013E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.19000E+01  0.13678E+04  0.10198E+04  0.67293E+03  0.36387E+03  0.30019E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.20000E+01  0.13740E+04  0.10381E+04  0.69041E+03  0.37183E+03  0.30028E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.21000E+01  0.13799E+04  0.10555E+04  0.70726E+03  0.37994E+03  0.30041E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.22000E+01  0.13853E+04  0.10723E+04  0.72348E+03  0.38815E+03  0.30057E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.23000E+01  0.13904E+04  0.10885E+04  0.73918E+03  0.39643E+03  0.30077E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.24000E+01  0.13952E+04  0.11042E+04  0.75440E+03  0.40472E+03  0.30102E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.25000E+01  0.13997E+04  0.11195E+04  0.76922E+03  0.41308E+03  0.30131E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.26000E+01  0.14040E+04  0.11343E+04  0.78356E+03  0.42144E+03  0.30165E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.27000E+01  0.14081E+04  0.11487E+04  0.79748E+03  0.42985E+03  0.30204E+03  0.30000E+03  0.30000E+03  0.30000E+03  0.30000E+03
 0.28000E+01  0.14119E+04  0.11627E+04  0.81104E+03  0.43826E+03  0.30248E+03  0.30001E+03  0.30000E+03  0.30000E+03  0.30000E+03
