   time (s)   m_dot_g (kg/m2/s)  m_dot_c (kg/m2/s)  Virgin 98%     Char 2%    recession (m) 
 0.00000E+00     0.00000E+00       0.00000E+00     0.00000E+00   0.00000E+00  0.00000E+00
 0.10000E+00     0.28199E-02       0.37943E-01     0.15504E-04   0.10423E-04  0.10423E-04
 0.20000E+00     0.10840E-01       0.42646E-01     0.18381E-03   0.25488E-04  0.25488E-04
 0.30000E+00     0.18035E-01       0.42038E-01     0.32089E-03   0.41417E-04  0.41417E-04
 0.40000E+00     0.22927E-01       0.41216E-01     0.44311E-03   0.57598E-04  0.57598E-04
 0.50000E+00     0.25599E-01       0.40712E-01     0.55517E-03   0.73975E-04  0.73975E-04
 0.60000E+00     0.26989E-01       0.40475E-01     0.66037E-03   0.90556E-04  0.90556E-04
 0.70000E+00     0.27696E-01       0.40366E-01     0.75929E-03   0.10732E-03  0.10732E-03
 0.80000E+00     0.27981E-01       0.40359E-01     0.85378E-03   0.12425E-03  0.12425E-03
 0.90000E+00     0.28031E-01       0.40381E-01     0.94462E-03   0.14134E-03  0.14134E-03
 0.10000E+01     0.27932E-01       0.40439E-01     0.10317E-02   0.15857E-03  0.15857E-03
 0.11000E+01     0.27737E-01       0.40522E-01     0.11159E-02   0.17593E-03  0.17593E-03
 0.12000E+01     0.27489E-01       0.40609E-01     0.11975E-02   0.19341E-03  0.19341E-03
 0.13000E+01     0.27209E-01       0.40699E-01     0.12758E-02   0.21099E-03  0.21099E-03
 0.14000E+01     0.26914E-01       0.40792E-01     0.13539E-02   0.22867E-03  0.22867E-03
 0.15000E+01     0.26607E-01       0.40887E-01     0.14286E-02   0.24644E-03  0.24644E-03
 0.16000E+01     0.26300E-01       0.40983E-01     0.15016E-02   0.26430E-03  0.26430E-03
 0.17000E+01     0.25996E-01       0.41074E-01     0.15740E-02   0.28223E-03  0.28223E-03
 0.18000E+01     0.25697E-01       0.41162E-01     0.16445E-02   0.30024E-03  0.30024E-03
 0.19000E+01     0.25406E-01       0.41249E-01     0.17135E-02   0.31832E-03  0.31832E-03
 0.20000E+01     0.25121E-01       0.41332E-01     0.17810E-02   0.33646E-03  0.33646E-03
 0.21000E+01     0.24718E-01       0.41448E-01     0.18483E-02   0.35468E-03  0.35468E-03
 0.22000E+01     0.24510E-01       0.41510E-01     0.19157E-02   0.37297E-03  0.37297E-03
 0.23000E+01     0.24287E-01       0.41576E-01     0.19808E-02   0.39131E-03  0.39131E-03
 0.24000E+01     0.24040E-01       0.41648E-01     0.20453E-02   0.40969E-03  0.40969E-03
 0.25000E+01     0.23793E-01       0.41719E-01     0.21090E-02   0.42813E-03  0.42813E-03
 0.26000E+01     0.23564E-01       0.41785E-01     0.21704E-02   0.44660E-03  0.44660E-03
 0.27000E+01     0.23340E-01       0.41849E-01     0.22305E-02   0.46512E-03  0.46512E-03
 0.28000E+01     0.23127E-01       0.41910E-01     0.22912E-02   0.48368E-03  0.48368E-03
 0.29000E+01     0.22839E-01       0.41992E-01     0.23486E-02   0.50229E-03  0.50229E-03
 0.30000E+01     0.22646E-01       0.42047E-01     0.24079E-02   0.52093E-03  0.52093E-03
 0.31000E+01     0.22455E-01       0.42102E-01     0.24646E-02   0.53961E-03  0.53961E-03
 0.32000E+01     0.22278E-01       0.42152E-01     0.25213E-02   0.55832E-03  0.55832E-03
 0.33000E+01     0.22106E-01       0.42201E-01     0.25773E-02   0.57706E-03  0.57706E-03
 0.34000E+01     0.21936E-01       0.42250E-01     0.26322E-02   0.59583E-03  0.59583E-03
 0.35000E+01     0.21775E-01       0.42295E-01     0.26870E-02   0.61463E-03  0.61463E-03
 0.36000E+01     0.21617E-01       0.42341E-01     0.27410E-02   0.63345E-03  0.63345E-03
 0.37000E+01     0.21455E-01       0.42387E-01     0.27941E-02   0.65231E-03  0.65231E-03
 0.38000E+01     0.21308E-01       0.42429E-01     0.28479E-02   0.67119E-03  0.67119E-03
 0.39000E+01     0.21161E-01       0.42471E-01     0.28985E-02   0.69009E-03  0.69009E-03
 0.40000E+01     0.21018E-01       0.42511E-01     0.29526E-02   0.70902E-03  0.70902E-03
 0.41000E+01     0.20887E-01       0.42549E-01     0.30025E-02   0.72797E-03  0.72797E-03
 0.42000E+01     0.20760E-01       0.42584E-01     0.30547E-02   0.74695E-03  0.74695E-03
 0.43000E+01     0.20632E-01       0.42621E-01     0.31055E-02   0.76594E-03  0.76594E-03
 0.44000E+01     0.20506E-01       0.42657E-01     0.31535E-02   0.78496E-03  0.78496E-03
 0.45000E+01     0.20384E-01       0.42691E-01     0.32059E-02   0.80399E-03  0.80399E-03
 0.46000E+01     0.20268E-01       0.42724E-01     0.32546E-02   0.82305E-03  0.82305E-03
 0.47000E+01     0.20157E-01       0.42756E-01     0.33025E-02   0.84212E-03  0.84212E-03
 0.48000E+01     0.20041E-01       0.42788E-01     0.33532E-02   0.86121E-03  0.86121E-03
 0.49000E+01     0.19933E-01       0.42819E-01     0.34007E-02   0.88033E-03  0.88033E-03
 0.50000E+01     0.19825E-01       0.42850E-01     0.34474E-02   0.89945E-03  0.89945E-03
 0.51000E+01     0.19724E-01       0.42878E-01     0.34972E-02   0.91860E-03  0.91860E-03
 0.52000E+01     0.19626E-01       0.42906E-01     0.35440E-02   0.93776E-03  0.93776E-03
 0.53000E+01     0.19525E-01       0.42935E-01     0.35885E-02   0.95694E-03  0.95694E-03
 0.54000E+01     0.19429E-01       0.42962E-01     0.36379E-02   0.97613E-03  0.97613E-03
 0.55000E+01     0.19335E-01       0.42988E-01     0.36846E-02   0.99534E-03  0.99534E-03
 0.56000E+01     0.19247E-01       0.43013E-01     0.37289E-02   0.10146E-02  0.10146E-02
 0.57000E+01     0.19157E-01       0.43039E-01     0.37752E-02   0.10338E-02  0.10338E-02
 0.58000E+01     0.19071E-01       0.43063E-01     0.38222E-02   0.10531E-02  0.10531E-02
 0.59000E+01     0.18988E-01       0.43086E-01     0.38669E-02   0.10723E-02  0.10723E-02
 0.60000E+01     0.18903E-01       0.43111E-01     0.39096E-02   0.10916E-02  0.10916E-02
 0.61000E+01     0.18822E-01       0.43134E-01     0.39562E-02   0.11109E-02  0.11109E-02
 0.62000E+01     0.18742E-01       0.43156E-01     0.40017E-02   0.11302E-02  0.11302E-02
 0.63000E+01     0.18666E-01       0.43178E-01     0.40451E-02   0.11495E-02  0.11495E-02
 0.64000E+01     0.18588E-01       0.43200E-01     0.40868E-02   0.11688E-02  0.11688E-02
 0.65000E+01     0.18516E-01       0.43220E-01     0.41324E-02   0.11882E-02  0.11882E-02
 0.66000E+01     0.18441E-01       0.43242E-01     0.41771E-02   0.12075E-02  0.12075E-02
 0.67000E+01     0.18369E-01       0.43262E-01     0.42199E-02   0.12269E-02  0.12269E-02
 0.68000E+01     0.18301E-01       0.43281E-01     0.42610E-02   0.12463E-02  0.12463E-02
 0.69000E+01     0.18232E-01       0.43301E-01     0.43040E-02   0.12656E-02  0.12656E-02
 0.70000E+01     0.18163E-01       0.43320E-01     0.43485E-02   0.12850E-02  0.12850E-02
 0.71000E+01     0.18098E-01       0.43339E-01     0.43911E-02   0.13044E-02  0.13044E-02
 0.72000E+01     0.18044E-01       0.43354E-01     0.44323E-02   0.13238E-02  0.13238E-02
 0.73000E+01     0.17953E-01       0.43379E-01     0.44719E-02   0.13433E-02  0.13433E-02
 0.74000E+01     0.17870E-01       0.43402E-01     0.45159E-02   0.13627E-02  0.13627E-02
 0.75000E+01     0.17793E-01       0.43424E-01     0.45589E-02   0.13822E-02  0.13822E-02
 0.76000E+01     0.17722E-01       0.43444E-01     0.46003E-02   0.14016E-02  0.14016E-02
 0.77000E+01     0.17657E-01       0.43462E-01     0.46403E-02   0.14211E-02  0.14211E-02
 0.78000E+01     0.17601E-01       0.43478E-01     0.46790E-02   0.14406E-02  0.14406E-02
 0.79000E+01     0.17537E-01       0.43496E-01     0.47220E-02   0.14601E-02  0.14601E-02
 0.80000E+01     0.17477E-01       0.43513E-01     0.47641E-02   0.14796E-02  0.14796E-02
 0.81000E+01     0.17422E-01       0.43528E-01     0.48048E-02   0.14991E-02  0.14991E-02
 0.82000E+01     0.17364E-01       0.43545E-01     0.48442E-02   0.15186E-02  0.15186E-02
 0.83000E+01     0.17313E-01       0.43559E-01     0.48824E-02   0.15381E-02  0.15381E-02
 0.84000E+01     0.17262E-01       0.43574E-01     0.49225E-02   0.15577E-02  0.15577E-02
 0.85000E+01     0.17215E-01       0.43587E-01     0.49643E-02   0.15772E-02  0.15772E-02
 0.86000E+01     0.17163E-01       0.43602E-01     0.50048E-02   0.15967E-02  0.15967E-02
 0.87000E+01     0.17115E-01       0.43615E-01     0.50440E-02   0.16163E-02  0.16163E-02
 0.88000E+01     0.17069E-01       0.43628E-01     0.50821E-02   0.16359E-02  0.16359E-02
 0.89000E+01     0.17021E-01       0.43642E-01     0.51192E-02   0.16554E-02  0.16554E-02
 0.90000E+01     0.16977E-01       0.43654E-01     0.51592E-02   0.16750E-02  0.16750E-02
 0.91000E+01     0.16935E-01       0.43666E-01     0.51999E-02   0.16946E-02  0.16946E-02
 0.92000E+01     0.16894E-01       0.43678E-01     0.52394E-02   0.17142E-02  0.17142E-02
 0.93000E+01     0.16845E-01       0.43691E-01     0.52778E-02   0.17338E-02  0.17338E-02
 0.94000E+01     0.16801E-01       0.43704E-01     0.53152E-02   0.17534E-02  0.17534E-02
 0.95000E+01     0.16761E-01       0.43715E-01     0.53516E-02   0.17730E-02  0.17730E-02
 0.96000E+01     0.16720E-01       0.43727E-01     0.53894E-02   0.17926E-02  0.17926E-02
 0.97000E+01     0.16675E-01       0.43739E-01     0.54295E-02   0.18122E-02  0.18122E-02
 0.98000E+01     0.16640E-01       0.43749E-01     0.54686E-02   0.18318E-02  0.18318E-02
 0.99000E+01     0.16603E-01       0.43760E-01     0.55066E-02   0.18515E-02  0.18515E-02
 0.10000E+02     0.16566E-01       0.43770E-01     0.55436E-02   0.18711E-02  0.18711E-02
 0.10100E+02     0.16524E-01       0.43782E-01     0.55798E-02   0.18908E-02  0.18908E-02
 0.10200E+02     0.16486E-01       0.43793E-01     0.56152E-02   0.19104E-02  0.19104E-02
