   time (s)   m_dot_g (kg/m2/s)  m_dot_c (kg/m2/s)  Virgin 98%     Char 2%    recession (m) 
 0.10300E+02     0.16448E-01       0.43804E-01     0.56531E-02   0.19301E-02  0.19301E-02
 0.10400E+02     0.16412E-01       0.43814E-01     0.56921E-02   0.19497E-02  0.19497E-02
 0.10500E+02     0.16373E-01       0.43825E-01     0.57302E-02   0.19694E-02  0.19694E-02
 0.10600E+02     0.16334E-01       0.43836E-01     0.57673E-02   0.19891E-02  0.19891E-02
 0.10700E+02     0.16305E-01       0.43844E-01     0.58036E-02   0.20088E-02  0.20088E-02
 0.10800E+02     0.16270E-01       0.43854E-01     0.58392E-02   0.20284E-02  0.20284E-02
 0.10900E+02     0.16239E-01       0.43863E-01     0.58739E-02   0.20481E-02  0.20481E-02
 0.11000E+02     0.16203E-01       0.43873E-01     0.59094E-02   0.20678E-02  0.20678E-02
 0.11100E+02     0.16168E-01       0.43883E-01     0.59479E-02   0.20875E-02  0.20875E-02
 0.11200E+02     0.16135E-01       0.43892E-01     0.59856E-02   0.21072E-02  0.21072E-02
 0.11300E+02     0.16105E-01       0.43901E-01     0.60223E-02   0.21269E-02  0.21269E-02
 0.11400E+02     0.16072E-01       0.43910E-01     0.60583E-02   0.21466E-02  0.21466E-02
 0.11500E+02     0.16037E-01       0.43920E-01     0.60935E-02   0.21664E-02  0.21664E-02
 0.11600E+02     0.16009E-01       0.43928E-01     0.61281E-02   0.21861E-02  0.21861E-02
 0.11700E+02     0.15980E-01       0.43936E-01     0.61620E-02   0.22058E-02  0.22058E-02
 0.11800E+02     0.15949E-01       0.43944E-01     0.61970E-02   0.22256E-02  0.22256E-02
 0.11900E+02     0.15922E-01       0.43952E-01     0.62346E-02   0.22453E-02  0.22453E-02
 0.12000E+02     0.15889E-01       0.43962E-01     0.62714E-02   0.22650E-02  0.22650E-02
 0.12100E+02     0.15858E-01       0.43970E-01     0.63074E-02   0.22848E-02  0.22848E-02
 0.12200E+02     0.15828E-01       0.43979E-01     0.63427E-02   0.23045E-02  0.23045E-02
 0.12300E+02     0.15799E-01       0.43987E-01     0.63774E-02   0.23243E-02  0.23243E-02
 0.12400E+02     0.15773E-01       0.43994E-01     0.64114E-02   0.23440E-02  0.23440E-02
 0.12500E+02     0.15741E-01       0.44003E-01     0.64448E-02   0.23638E-02  0.23638E-02
 0.12600E+02     0.15710E-01       0.44012E-01     0.64777E-02   0.23836E-02  0.23836E-02
 0.12700E+02     0.15687E-01       0.44019E-01     0.65137E-02   0.24033E-02  0.24033E-02
 0.12800E+02     0.15660E-01       0.44026E-01     0.65502E-02   0.24231E-02  0.24231E-02
 0.12900E+02     0.15634E-01       0.44033E-01     0.65859E-02   0.24429E-02  0.24429E-02
 0.13000E+02     0.15609E-01       0.44040E-01     0.66210E-02   0.24627E-02  0.24627E-02
 0.13100E+02     0.15579E-01       0.44049E-01     0.66554E-02   0.24825E-02  0.24825E-02
 0.13200E+02     0.15553E-01       0.44056E-01     0.66893E-02   0.25023E-02  0.25023E-02
 0.13300E+02     0.15525E-01       0.44064E-01     0.67226E-02   0.25221E-02  0.25221E-02
 0.13400E+02     0.15500E-01       0.44071E-01     0.67553E-02   0.25419E-02  0.25419E-02
 0.13500E+02     0.15477E-01       0.44077E-01     0.67876E-02   0.25617E-02  0.25617E-02
 0.13600E+02     0.15452E-01       0.44085E-01     0.68217E-02   0.25815E-02  0.25815E-02
 0.13700E+02     0.15426E-01       0.44092E-01     0.68575E-02   0.26013E-02  0.26013E-02
 0.13800E+02     0.15398E-01       0.44100E-01     0.68927E-02   0.26211E-02  0.26211E-02
 0.13900E+02     0.15663E-01       0.44027E-01     0.69272E-02   0.26409E-02  0.26409E-02
 0.14000E+02     0.15648E-01       0.44030E-01     0.69612E-02   0.26607E-02  0.26607E-02
 0.14100E+02     0.15624E-01       0.44038E-01     0.69946E-02   0.26805E-02  0.26805E-02
 0.14200E+02     0.15600E-01       0.44045E-01     0.70276E-02   0.27003E-02  0.27003E-02
 0.14300E+02     0.15578E-01       0.44051E-01     0.70600E-02   0.27201E-02  0.27201E-02
 0.14400E+02     0.15552E-01       0.44058E-01     0.70920E-02   0.27399E-02  0.27399E-02
 0.14500E+02     0.15528E-01       0.44065E-01     0.71236E-02   0.27597E-02  0.27597E-02
 0.14600E+02     0.15503E-01       0.44072E-01     0.71569E-02   0.27795E-02  0.27795E-02
 0.14700E+02     0.15481E-01       0.44078E-01     0.71919E-02   0.27993E-02  0.27993E-02
 0.14800E+02     0.15458E-01       0.44085E-01     0.72264E-02   0.28191E-02  0.28191E-02
 0.14900E+02     0.15435E-01       0.44091E-01     0.72604E-02   0.28389E-02  0.28389E-02
 0.15000E+02     0.15411E-01       0.44098E-01     0.72938E-02   0.28587E-02  0.28587E-02
 0.15100E+02     0.15385E-01       0.44105E-01     0.73268E-02   0.28786E-02  0.28786E-02
 0.15200E+02     0.15359E-01       0.44112E-01     0.73592E-02   0.28984E-02  0.28984E-02
 0.15300E+02     0.15340E-01       0.44118E-01     0.73913E-02   0.29182E-02  0.29182E-02
 0.15400E+02     0.15320E-01       0.44124E-01     0.74229E-02   0.29381E-02  0.29381E-02
 0.15500E+02     0.15299E-01       0.44129E-01     0.74541E-02   0.29579E-02  0.29579E-02
 0.15600E+02     0.15277E-01       0.44135E-01     0.74849E-02   0.29777E-02  0.29777E-02
 0.15700E+02     0.15257E-01       0.44141E-01     0.75182E-02   0.29976E-02  0.29976E-02
 0.15800E+02     0.15234E-01       0.44148E-01     0.75524E-02   0.30174E-02  0.30174E-02
 0.15900E+02     0.15213E-01       0.44154E-01     0.75861E-02   0.30373E-02  0.30373E-02
 0.16000E+02     0.15190E-01       0.44160E-01     0.76194E-02   0.30571E-02  0.30571E-02
 0.16100E+02     0.15171E-01       0.44166E-01     0.76521E-02   0.30770E-02  0.30770E-02
 0.16200E+02     0.15150E-01       0.44171E-01     0.76844E-02   0.30968E-02  0.30968E-02
 0.16300E+02     0.15129E-01       0.44177E-01     0.77163E-02   0.31167E-02  0.31167E-02
 0.16400E+02     0.15108E-01       0.44183E-01     0.77478E-02   0.31366E-02  0.31366E-02
 0.16500E+02     0.15084E-01       0.44190E-01     0.77788E-02   0.31564E-02  0.31564E-02
 0.16600E+02     0.15061E-01       0.44196E-01     0.78096E-02   0.31763E-02  0.31763E-02
 0.16700E+02     0.15045E-01       0.44200E-01     0.78400E-02   0.31962E-02  0.31962E-02
 0.16800E+02     0.15028E-01       0.44206E-01     0.78700E-02   0.32160E-02  0.32160E-02
 0.16900E+02     0.15009E-01       0.44211E-01     0.79037E-02   0.32359E-02  0.32359E-02
 0.17000E+02     0.14990E-01       0.44216E-01     0.79370E-02   0.32558E-02  0.32558E-02
 0.17100E+02     0.14972E-01       0.44221E-01     0.79699E-02   0.32757E-02  0.32757E-02
 0.17200E+02     0.14954E-01       0.44226E-01     0.80024E-02   0.32956E-02  0.32956E-02
 0.17300E+02     0.14934E-01       0.44232E-01     0.80344E-02   0.33155E-02  0.33155E-02
 0.17400E+02     0.14916E-01       0.44237E-01     0.80660E-02   0.33354E-02  0.33354E-02
 0.17500E+02     0.14896E-01       0.44243E-01     0.80973E-02   0.33553E-02  0.33553E-02
 0.17600E+02     0.14879E-01       0.44248E-01     0.81281E-02   0.33752E-02  0.33752E-02
 0.17700E+02     0.14860E-01       0.44253E-01     0.81587E-02   0.33951E-02  0.33951E-02
 0.17800E+02     0.14843E-01       0.44258E-01     0.81889E-02   0.34150E-02  0.34150E-02
 0.17900E+02     0.14825E-01       0.44263E-01     0.82188E-02   0.34349E-02  0.34349E-02
 0.18000E+02     0.14804E-01       0.44269E-01     0.82484E-02   0.34548E-02  0.34548E-02
 0.18100E+02     0.14783E-01       0.44275E-01     0.82790E-02   0.34747E-02  0.34747E-02
 0.18200E+02     0.14763E-01       0.44280E-01     0.83119E-02   0.34946E-02  0.34946E-02
 0.18300E+02     0.14749E-01       0.44283E-01     0.83443E-02   0.35145E-02  0.35145E-02
 0.18400E+02     0.14734E-01       0.44288E-01     0.83764E-02   0.35345E-02  0.35345E-02
 0.18500E+02     0.14718E-01       0.44292E-01     0.84080E-02   0.35544E-02  0.35544E-02
 0.18600E+02     0.14703E-01       0.44297E-01     0.84393E-02   0.35743E-02  0.35743E-02
 0.18700E+02     0.14685E-01       0.44302E-01     0.84703E-02   0.35942E-02  0.35942E-02
 0.18800E+02     0.14669E-01       0.44306E-01     0.85009E-02   0.36142E-02  0.36142E-02
 0.18900E+02     0.14653E-01       0.44311E-01     0.85312E-02   0.36341E-02  0.36341E-02
 0.19000E+02     0.14636E-01       0.44316E-01     0.85612E-02   0.36540E-02  0.36540E-02
 0.19100E+02     0.14621E-01       0.44319E-01     0.85909E-02   0.36740E-02  0.36740E-02
 0.19200E+02     0.14604E-01       0.44325E-01     0.86203E-02   0.36939E-02  0.36939E-02
 0.19300E+02     0.14587E-01       0.44330E-01     0.86495E-02   0.37138E-02  0.37138E-02
 0.19400E+02     0.14571E-01       0.44333E-01     0.86783E-02   0.37338E-02  0.37338E-02
 0.19500E+02     0.14554E-01       0.44339E-01     0.87094E-02   0.37537E-02  0.37537E-02
 0.19600E+02     0.14540E-01       0.44342E-01     0.87414E-02   0.37737E-02  0.37737E-02
 0.19700E+02     0.14524E-01       0.44347E-01     0.87730E-02   0.37936E-02  0.37936E-02
 0.19800E+02     0.14507E-01       0.44352E-01     0.88043E-02   0.38136E-02  0.38136E-02
 0.19900E+02     0.14491E-01       0.44356E-01     0.88353E-02   0.38335E-02  0.38335E-02
 0.20000E+02     0.14474E-01       0.44361E-01     0.88659E-02   0.38535E-02  0.38535E-02
 0.20100E+02     0.14462E-01       0.44364E-01     0.88962E-02   0.38734E-02  0.38734E-02
 0.20200E+02     0.14450E-01       0.44368E-01     0.89263E-02   0.38934E-02  0.38934E-02
 0.20300E+02     0.14436E-01       0.44371E-01     0.89560E-02   0.39134E-02  0.39134E-02
 0.20400E+02     0.14422E-01       0.44376E-01     0.89855E-02   0.39333E-02  0.39333E-02
 0.20500E+02     0.14407E-01       0.44380E-01     0.90147E-02   0.39533E-02  0.39533E-02
 0.20600E+02     0.14391E-01       0.44385E-01     0.90436E-02   0.39733E-02  0.39733E-02
 0.20700E+02     0.14377E-01       0.44388E-01     0.90723E-02   0.39932E-02  0.39932E-02
 0.20800E+02     0.14364E-01       0.44392E-01     0.91008E-02   0.40132E-02  0.40132E-02
 0.20900E+02     0.14351E-01       0.44395E-01     0.91290E-02   0.40332E-02  0.40332E-02
 0.21000E+02     0.14338E-01       0.44400E-01     0.91600E-02   0.40532E-02  0.40532E-02
 0.21100E+02     0.14323E-01       0.44403E-01     0.91912E-02   0.40731E-02  0.40731E-02
 0.21200E+02     0.14309E-01       0.44408E-01     0.92221E-02   0.40931E-02  0.40931E-02
 0.21300E+02     0.14296E-01       0.44411E-01     0.92527E-02   0.41131E-02  0.41131E-02
 0.21400E+02     0.14283E-01       0.44415E-01     0.92830E-02   0.41331E-02  0.41331E-02
 0.21500E+02     0.14271E-01       0.44418E-01     0.93130E-02   0.41531E-02  0.41531E-02
 0.21600E+02     0.14259E-01       0.44422E-01     0.93428E-02   0.41731E-02  0.41731E-02
 0.21700E+02     0.14244E-01       0.44425E-01     0.93723E-02   0.41931E-02  0.41931E-02
 0.21800E+02     0.14229E-01       0.44430E-01     0.94015E-02   0.42131E-02  0.42131E-02
 0.21900E+02     0.14215E-01       0.44433E-01     0.94305E-02   0.42330E-02  0.42330E-02
 0.22000E+02     0.14200E-01       0.44438E-01     0.94592E-02   0.42530E-02  0.42530E-02
 0.22100E+02     0.14191E-01       0.44440E-01     0.94877E-02   0.42730E-02  0.42730E-02
 0.22200E+02     0.14181E-01       0.44444E-01     0.95160E-02   0.42930E-02  0.42930E-02
 0.22300E+02     0.14170E-01       0.44446E-01     0.95441E-02   0.43130E-02  0.43130E-02
 0.22400E+02     0.14157E-01       0.44450E-01     0.95720E-02   0.43330E-02  0.43330E-02
 0.22500E+02     0.14145E-01       0.44453E-01     0.95997E-02   0.43530E-02  0.43530E-02
 0.22600E+02     0.14133E-01       0.44457E-01     0.96298E-02   0.43730E-02  0.43730E-02
 0.22700E+02     0.14123E-01       0.44460E-01     0.96604E-02   0.43931E-02  0.43931E-02
 0.22800E+02     0.14113E-01       0.44463E-01     0.96907E-02   0.44131E-02  0.44131E-02
 0.22900E+02     0.14101E-01       0.44466E-01     0.97207E-02   0.44331E-02  0.44331E-02
 0.23000E+02     0.14090E-01       0.44469E-01     0.97504E-02   0.44531E-02  0.44531E-02
 0.23100E+02     0.14079E-01       0.44472E-01     0.97799E-02   0.44731E-02  0.44731E-02
 0.23200E+02     0.14066E-01       0.44476E-01     0.98091E-02   0.44931E-02  0.44931E-02
 0.23300E+02     0.14052E-01       0.44479E-01     0.98381E-02   0.45131E-02  0.45131E-02
 0.23400E+02     0.14042E-01       0.44483E-01     0.98669E-02   0.45332E-02  0.45332E-02
 0.23500E+02     0.14031E-01       0.44485E-01     0.98955E-02   0.45532E-02  0.45532E-02
 0.23600E+02     0.14019E-01       0.44489E-01     0.99238E-02   0.45732E-02  0.45732E-02
 0.23700E+02     0.14008E-01       0.44492E-01     0.99519E-02   0.45932E-02  0.45932E-02
 0.23800E+02     0.13997E-01       0.44496E-01     0.99799E-02   0.46133E-02  0.46133E-02
 0.23900E+02     0.13984E-01       0.44498E-01     0.10008E-01   0.46333E-02  0.46333E-02
 0.24000E+02     0.13971E-01       0.44503E-01     0.10035E-01   0.46533E-02  0.46533E-02
 0.24100E+02     0.13959E-01       0.44505E-01     0.10063E-01   0.46733E-02  0.46733E-02
 0.24200E+02     0.13946E-01       0.44510E-01     0.10090E-01   0.46934E-02  0.46934E-02
 0.24300E+02     0.13934E-01       0.44512E-01     0.10118E-01   0.47134E-02  0.47134E-02
 0.24400E+02     0.13926E-01       0.44515E-01     0.10148E-01   0.47335E-02  0.47335E-02
 0.24500E+02     0.13918E-01       0.44517E-01     0.10178E-01   0.47535E-02  0.47535E-02
 0.24600E+02     0.13909E-01       0.44519E-01     0.10207E-01   0.47735E-02  0.47735E-02
 0.24700E+02     0.13899E-01       0.44523E-01     0.10237E-01   0.47936E-02  0.47936E-02
 0.24800E+02     0.13889E-01       0.44525E-01     0.10266E-01   0.48136E-02  0.48136E-02
 0.24900E+02     0.13879E-01       0.44529E-01     0.10294E-01   0.48337E-02  0.48337E-02
 0.25000E+02     0.13870E-01       0.44531E-01     0.10323E-01   0.48537E-02  0.48537E-02
 0.25100E+02     0.13862E-01       0.44533E-01     0.10351E-01   0.48737E-02  0.48737E-02
 0.25200E+02     0.13852E-01       0.44536E-01     0.10380E-01   0.48938E-02  0.48938E-02
 0.25300E+02     0.13842E-01       0.44538E-01     0.10408E-01   0.49138E-02  0.49138E-02
 0.25400E+02     0.13834E-01       0.44541E-01     0.10435E-01   0.49339E-02  0.49339E-02
 0.25500E+02     0.13824E-01       0.44544E-01     0.10463E-01   0.49539E-02  0.49539E-02
 0.25600E+02     0.13813E-01       0.44547E-01     0.10490E-01   0.49740E-02  0.49740E-02
 0.25700E+02     0.13802E-01       0.44550E-01     0.10518E-01   0.49940E-02  0.49940E-02
 0.25800E+02     0.13793E-01       0.44553E-01     0.10545E-01   0.50141E-02  0.50141E-02
 0.25900E+02     0.13784E-01       0.44555E-01     0.10572E-01   0.50342E-02  0.50342E-02
 0.26000E+02     0.13774E-01       0.44558E-01     0.10598E-01   0.50542E-02  0.50542E-02
 0.26100E+02     0.13764E-01       0.44560E-01     0.10625E-01   0.50743E-02  0.50743E-02
 0.26200E+02     0.13755E-01       0.44563E-01     0.10654E-01   0.50943E-02  0.50943E-02
 0.26300E+02     0.13745E-01       0.44566E-01     0.10683E-01   0.51144E-02  0.51144E-02
 0.26400E+02     0.13734E-01       0.44569E-01     0.10712E-01   0.51345E-02  0.51345E-02
 0.26500E+02     0.13721E-01       0.44572E-01     0.10741E-01   0.51545E-02  0.51545E-02
 0.26600E+02     0.13711E-01       0.44576E-01     0.10770E-01   0.51746E-02  0.51746E-02
 0.26700E+02     0.13700E-01       0.44578E-01     0.10798E-01   0.51947E-02  0.51947E-02
 0.26800E+02     0.13695E-01       0.44580E-01     0.10826E-01   0.52147E-02  0.52147E-02
 0.26900E+02     0.13688E-01       0.44582E-01     0.10854E-01   0.52348E-02  0.52348E-02
 0.27000E+02     0.13682E-01       0.44584E-01     0.10882E-01   0.52549E-02  0.52549E-02
 0.27100E+02     0.13674E-01       0.44585E-01     0.10910E-01   0.52750E-02  0.52750E-02
 0.27200E+02     0.13665E-01       0.44589E-01     0.10937E-01   0.52950E-02  0.52950E-02
 0.27300E+02     0.13657E-01       0.44591E-01     0.10965E-01   0.53151E-02  0.53151E-02
 0.27400E+02     0.13649E-01       0.44593E-01     0.10992E-01   0.53352E-02  0.53352E-02
 0.27500E+02     0.13639E-01       0.44596E-01     0.11019E-01   0.53553E-02  0.53553E-02
 0.27600E+02     0.13631E-01       0.44598E-01     0.11046E-01   0.53753E-02  0.53753E-02
 0.27700E+02     0.13625E-01       0.44599E-01     0.11072E-01   0.53954E-02  0.53954E-02
 0.27800E+02     0.13617E-01       0.44602E-01     0.11099E-01   0.54155E-02  0.54155E-02
 0.27900E+02     0.13609E-01       0.44604E-01     0.11125E-01   0.54356E-02  0.54356E-02
 0.28000E+02     0.13602E-01       0.44606E-01     0.11152E-01   0.54557E-02  0.54557E-02
 0.28100E+02     0.13593E-01       0.44609E-01     0.11178E-01   0.54757E-02  0.54757E-02
 0.28200E+02     0.13584E-01       0.44611E-01     0.11205E-01   0.54958E-02  0.54958E-02
