// t(s) normalizedPi_C6H6,BENZENE[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 0
74.3387 0
78.5 0
82.8871 6.81352e-06
86.9516 6.68681e-06
90.8226 7.09172e-06
94.9839 6.95456e-06
99.371 8.83103e-06
103.5 9.72615e-06
107.565 1.18018e-05
111.79 1.68638e-05
115.694 1.84704e-05
119.435 2.20026e-05
123.048 2.43517e-05
126.5 2.41957e-05
130.081 2.81741e-05
133.306 2.79089e-05
136.468 2.81386e-05
139.565 2.72734e-05
142.532 2.66884e-05
145.435 2.51139e-05
148.371 2.37781e-05
151.5 2.29181e-05
154.403 2.14073e-05
157.339 1.86158e-05
160.435 1.70405e-05
163.274 1.7019e-05
165.887 1.54958e-05
168.565 1.49171e-05
171.306 1.34152e-05
173.758 1.40111e-05
176.177 1.33155e-05
178.694 1.19911e-05
181.048 1.10003e-05
183.371 1.04677e-05
185.629 1.03109e-05
187.919 1.03714e-05
190.306 1.04075e-05
192.5 9.65614e-06
194.694 9.59754e-06
196.952 8.86374e-06
199.242 0
201.532 0
203.823 0
206.21 0
208.5 0
210.855 0
213.306 0
215.597 0
217.887 0
220.177 0
222.435 0
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
