// t(s) normalizedPi_C7H8O,CRESOL[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 1.45711e-05
74.3387 3.8184e-05
78.5 5.84767e-05
82.8871 9.80216e-05
86.9516 0.000130732
90.8226 0.00016687
94.9839 0.000232638
99.371 0.000273252
103.5 0.000324489
107.565 0.000373621
111.79 0.000395565
115.694 0.000416472
119.435 0.000393084
123.048 0.000351986
126.5 0.000298708
130.081 0.000249231
133.306 0.000220805
136.468 0.000178956
139.565 0.000158222
142.532 0.000140483
145.435 0.000118325
148.371 0.000105126
151.5 9.25366e-05
154.403 8.48459e-05
157.339 7.69388e-05
160.435 6.78144e-05
163.274 6.24736e-05
165.887 6.12782e-05
168.565 5.63744e-05
171.306 5.51656e-05
173.758 5.45837e-05
176.177 5.06594e-05
178.694 4.69036e-05
181.048 4.38661e-05
183.371 4.47236e-05
185.629 4.17499e-05
187.919 2.46151e-05
190.306 2.36715e-05
192.5 2.26237e-05
194.694 2.24863e-05
196.952 2.14751e-05
199.242 1.95147e-05
201.532 1.94022e-05
203.823 0
206.21 0
208.5 0
210.855 0
213.306 0
215.597 0
217.887 0
220.177 0
222.435 0
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
