// t(s) normalizedPi_C3H8O,1propanol[1/s]
24.1774 2.33247e-05
27.1452 2.05544e-05
30.1129 2.15327e-05
33.2097 2.1272e-05
36.4677 2.44678e-05
39.7903 2.59173e-05
43.4032 2.62906e-05
46.9516 2.4471e-05
50.5645 2.27187e-05
54.2742 2.17237e-05
58.1129 1.97129e-05
62.0161 0
66.0161 0
70.2742 0
74.3387 0
78.5 0
82.8871 0
86.9516 0
90.8226 0
94.9839 0
99.371 0
103.5 0
107.565 0
111.79 0
115.694 0
119.435 0
123.048 0
126.5 0
130.081 0
133.306 0
136.468 0
139.565 0
142.532 0
145.435 0
148.371 0
151.5 0
154.403 0
157.339 0
160.435 0
163.274 0
165.887 0
168.565 0
171.306 0
173.758 0
176.177 0
178.694 0
181.048 0
183.371 0
185.629 0
187.919 0
190.306 0
192.5 0
194.694 0
196.952 0
199.242 0
201.532 0
203.823 0
206.21 0
208.5 0
210.855 0
213.306 0
215.597 0
217.887 0
220.177 0
222.435 0
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
